verb,embedding_score,nouns,llm_score,tag,brief_reason,keep
blunt,0.5569,"teeth,jaw,tooth,skull",2,shared_root,teeth/tooth are same concept,False
boil,0.5567,"broth,stew,cabbage,soup",5,good,perfect - these foods are boiled,True
bore,0.5537,"rpm,torque,cylinder,horsepower",3,wrong_sense,"engine terms suggest mechanical bore, not drilling",False
borrow,0.5043,"lending,debt,loan,credit",4,good,financial terms related to borrowing,True
bother,0.6038,"tell,think,want,know",2,too_broad,general verbs don't specifically suggest bothering,False
breakfast,0.683,"lunch,dinner,meal,supper",2,not_action,"breakfast typically noun, not action verb",False
breed,0.6059,"sheep,cattle,goat,pig",5,good,perfect - these animals are bred,True
brew,0.5748,"beer,drink,liquor,alcohol",4,good,alcoholic beverages are brewed,True
broadcast,0.4836,"channel,cable,programming,television",4,good,media terms related to broadcasting,True
brood,0.4875,"cowbird,parasite,nest,larva",3,too_abstract,biological terms don't clearly suggest brooding,False
bruise,0.7571,"thigh,knee,elbow,ankle",5,good,perfect - body parts that can be bruised,True
bury,0.5494,"burial,funeral,tomb,cemetery",3,too_direct,burial is direct form of bury,False
bust,0.6185,"sculptor,statue,sculpture,monument",2,better_answer_exists,art terms better suggest 'sculpt' or 'carve',False
butterfly,0.4703,"moth,orchid,insect,genus",1,not_action,"butterfly is noun, not action verb",False
buy,0.5364,"sell,price,purchase,sale",3,too_direct,purchase is direct synonym of buy,False
calm,0.5644,"demeanor,temperament,attitude,personality",3,too_abstract,personality traits don't clearly suggest calming,False
carpet,0.4926,"rug,upholstery,flooring,furniture",2,not_action,"carpet typically noun, not action verb",False
carry,0.5739,"firearm,ammunition,weapon,gun",4,good,people carry weapons,True
carve,0.5666,"marble,wood,granite,stone",5,good,perfect - materials that are carved,True
cast,0.4756,"turnout,voter,ballot,vote",4,good,people cast votes and ballots,True
chant,0.5817,"sung,hymn,melody,singing",3,shared_root,sung/singing share root,False
chart,0.4569,"song,album,pop,rap",4,good,music charts rankings,True
cheer,0.546,"tennis,gymnastics,basketball,athletics",4,good,people cheer at sports,True
cherish,0.5308,"affection,devotion,friendship,love",4,good,people cherish relationships and feelings,True
choke,0.4562,"flange,throttle,valve,cylinder",3,wrong_sense,"mechanical parts suggest choke valve, not choking action",False
chop,0.6699,"pork,beef,meat,chicken",5,good,perfect - meats are chopped,True
chrome,0.5267,"grille,headlight,radiator,fender",2,not_action,"chrome typically noun/adjective, not action verb",False
clap,0.4835,"applause,shout,chant,cheer",3,too_direct,applause is direct result of clapping,False
climb,0.5153,"mountain,slope,cliff,ridge",5,good,perfect - geographical features that are climbed,True
clinch,0.5853,"title,victory,championship,win",4,good,athletes clinch victories and titles,True
cocoon,0.6368,"larva,moth,wasp,insect",2,not_action,"cocoon typically noun, not action verb",False
collect,0.4655,"rent,payment,fee,pay",2,better_answer_exists,nouns more naturally clue 'pay' or 'charge' than 'collect',False
commemorate,0.5681,"plaque,monument,statue,memorial",5,good,perfect connection - all items commemorate people/events,True
commend,0.4904,"diligence,courage,dedication,commitment",4,good,these are all qualities one would commend,True
commit,0.6179,"burglary,robbery,arson,theft",5,good,all crimes that one commits,True
commute,0.5007,"transportation,transit,ferry,bus",3,too_broad,"transportation/transit too broad, better clues 'travel'",False
compete,0.5306,"athletics,tennis,sport,basketball",4,good,all contexts where one competes,True
complain,0.459,"discomfort,fatigue,pain,feeling",3,too_broad,"feeling too broad, others work but connection weak",False
compose,0.6735,"concerto,piano,orchestra,violin",4,good,musical pieces/instruments one composes for,True
compound,0.502,"chloride,sodium,nitrogen,potassium",2,better_answer_exists,"these are elements that form compounds, not things that compound",False
compress,0.477,"piston,ignition,combustion,cylinder",3,too_broad,"engine parts, only piston clearly compresses",False
conceive,0.5266,"pregnancy,child,baby,birth",4,good,all related to conception process,True
concentrate,0.5368,"zinc,ore,copper,mine",3,wrong_sense,"mining sense of concentrate, not focus sense",False
concert,0.7373,"pianist,soloist,violinist,piano",1,not_action,"concert is a noun, not an action verb",False
concur,0.4528,"judgment,verdict,opinion,ruling",3,too_broad,"legal decisions, but connection to concur is weak",False
congratulate,0.4992,"accomplishment,victory,triumph,achievement",4,good,all things one congratulates others for,True
congregate,0.4782,"forage,feeding,breeding,feed",2,better_answer_exists,"animal behaviors, better clues 'feed' or 'graze'",False
connect,0.6637,"expressway,freeway,parkway,highway",4,good,all roads that connect places,True
conquer,0.5817,"galaxy,earth,planet,universe",3,too_abstract,cosmic scale makes conquest abstract/unrealistic,False
consult,0.5202,"counsel,lawyer,attorney,expert",4,good,professionals one consults,True
consume,0.5041,"dietary,diet,eating,meal",3,too_direct,eating is too direct a synonym,False
contain,0.5745,"vitamin,potassium,calcium,protein",4,good,nutrients that foods contain,True
contradict,0.5741,"assertion,assumption,notion,belief",4,good,all things one can contradict,True
cook,0.4747,"meal,dish,kitchen,dinner",4,good,things related to cooking,True
cop,0.4565,"detective,police,crime,murder",1,not_action,cop as verb (to catch) doesn't match police context,False
corral,0.5391,"ranch,herd,cattle,livestock",4,good,animals one corrals on ranches,True
corroborate,0.5487,"assertion,hypothesis,theory,argument",4,good,all things one can corroborate,True
count,0.4748,"nobleman,nobility,castle,prince",1,wrong_sense,"count as nobility title, not the verb",False
counterpoint,0.6236,"melody,sonata,violin,piano",2,not_action,"counterpoint is musical technique/noun, not action",False
crash,0.5777,"flight,plane,aircraft,aviation",4,good,things that can crash,True
cream,0.5924,"dessert,chocolate,pastry,cake",2,wrong_sense,"cream as ingredient, not as verb meaning defeat",False
crush,0.589,"rebellion,revolt,uprising,rebel",4,good,all things one can crush/suppress,True
cultivate,0.6449,"sorghum,wheat,barley,corn",5,good,crops that farmers cultivate,True
cure,0.6126,"tuberculosis,disease,virus,infection",5,good,illnesses one can cure,True
damp,0.5671,"drier,moisture,wet,dry",2,not_action,"damp typically adjective, verb sense unclear",False
debate,0.4605,"discussion,topic,forum,issue",3,too_broad,"topic/issue too broad, discussion too similar",False
decorate,0.4847,"facade,exterior,interior,dome",4,good,architectural elements one decorates,True
delegate,0.4903,"elector,nomination,nominee,candidate",2,wrong_sense,"political roles, not things one delegates",False
demonstrate,0.5023,"proficiency,mastery,competence,skill",4,good,abilities one demonstrates,True
denounce,0.5164,"injustice,oppression,slavery,persecution",4,good,wrongs one denounces,True
deprive,0.4821,"liberty,sovereignty,constitutional,sovereign",3,too_abstract,"political concepts, constitutional doesn't fit",False
derive,0.5029,"meaning,verb,word,noun",3,too_broad,"linguistic terms, connection weak",False
destroy,0.5098,"humanity,planet,earth,universe",3,too_abstract,cosmic scale makes destruction abstract,False
dice,0.4669,"roulette,gambling,poker,bet",2,wrong_sense,"gambling context suggests dice as noun, not verb",False
dig,0.4755,"dirt,sand,soil,mud",4,good,materials one digs through,True
dip,0.5294,"sauce,garlic,onion,cheese",3,wrong_sense,"food ingredients, sauce suggests dip as noun",False
disapprove,0.4994,"relationship,romance,marriage,friendship",3,too_broad,"relationships one might disapprove of, but broad",False
disarm,0.4514,"warhead,detonation,bomb,explosive",4,good,weapons/explosives one disarms,True
discern,0.4572,"divine,evil,spiritual,god",3,too_abstract,"spiritual concepts, abstract to discern",False
discharge,0.6458,"effluent,wastewater,sewage,drainage",4,good,liquids that are discharged,True
discourage,0.4633,"smoking,drinking,tobacco,alcohol",4,good,habits one discourages,True
dispel,0.5768,"misconception,myth,notion,stereotype",5,good,false beliefs one dispels,True
dispense,0.4906,"prescription,medication,pharmacy,pharmaceutical",4,good,medical items pharmacies dispense,True
dispose,0.5671,"waste,garbage,trash,sewage",4,good,materials one disposes of,True
disprove,0.6115,"hypothesis,myth,theory,notion",5,good,claims one can disprove,True
disrupt,0.4791,"membrane,protein,cell,tissue",3,obscure,biological disruption too technical/specialized,False
dissolve,0.454,"sodium,chloride,acid,calcium",4,good,chemicals that dissolve,True
divorce,0.5784,"spouse,husband,married,wife",4,good,people one divorces,True
donate,0.5756,"marrow,kidney,transplant,liver",4,good,organs/tissues one donates,True
drive,0.566,"axle,car,truck,vehicle",4,good,vehicles one drives,True
drizzle,0.6145,"downpour,rain,rainfall,snow",3,better_answer_exists,"precipitation types, better clues 'rain' or 'fall'",False
dump,0.6506,"garbage,rubbish,trash,waste",5,good,materials one dumps,True
dwell,0.4886,"heaven,god,hell,divine",3,too_abstract,"spiritual realms, abstract dwelling places",False
eat,0.6895,"meal,lunch,breakfast,dinner",5,good,meals one eats,True
eclipse,0.676,"filly,jockey,colt,horse",2,wrong_sense,"horse racing context, eclipse as outperform not astronomical",False
enact,0.5591,"legislation,repeal,amendment,reform",4,good,laws/policies one enacts,True
encourage,0.4555,"participation,cooperation,interaction,involvement",4,good,behaviors one encourages,True
enforce,0.5542,"statute,legislation,law,amendment",4,good,legal rules one enforces,True
engage,0.5656,"conversation,dialogue,discussion,debate",4,good,communications one engages in,True
enhance,0.454,"understanding,learning,experience,knowledge",4,good,mental capacities one enhances,True
enlist,0.6246,"army,regiment,battalion,infantry",4,good,military units one enlists in,True
enrich,0.4849,"curriculum,classroom,academic,learning",4,good,educational elements one enriches,True
enroll,0.5709,"semester,undergraduate,college,student",3,too_broad,"educational terms, student too broad",False
enslave,0.5676,"mankind,humanity,earth,planet",2,too_abstract,cosmic scale enslavement too abstract,False
excise,0.531,"whiskey,liquor,alcohol,beer",3,wrong_sense,"alcoholic drinks suggest excise tax, not surgical removal",False
excite,0.551,"fluorescence,electron,spectroscopy,molecule",3,obscure,scientific excitation too technical/specialized,False
exemplify,0.4937,"commitment,dedication,courage,determination",2,too_abstract,Abstract virtues don't naturally clue the verb exemplify,False
exhaust,0.5727,"nozzle,valve,piston,cylinder",4,good,Engine parts that relate to exhaust system,True
exhibit,0.5175,"gallery,museum,art,sculpture",5,good,Perfect connection - things displayed in exhibitions,True
exonerate,0.4957,"manslaughter,murder,rape,crime",1,sensitive,Serious crimes are too sensitive for word puzzle,False
explode,0.5854,"detonation,explosion,bomb,blast",1,too_direct,Explosion is direct form of explode,False
exploit,0.4705,"mineral,ore,coal,copper",4,good,Natural resources that are exploited/extracted,True
export,0.5691,"wheat,crop,cotton,grain",5,good,Agricultural products commonly exported,True
express,0.6147,"train,locomotive,rail,railway",5,good,Express train is a clear connection,True
exterminate,0.5778,"humanity,mankind,planet,civilization",1,sensitive,Genocide/extinction themes too sensitive,False
facilitate,0.4975,"cooperation,interaction,dialogue,collaboration",2,too_abstract,Abstract concepts don't clearly clue facilitate,False
farm,0.6297,"dairy,livestock,cattle,sheep",5,good,Animals and products from farming,True
fear,0.5252,"loathing,anxiety,anger,hatred",2,too_abstract,Emotions don't clearly clue the verb fear,False
feel,0.5671,"like,think,want,know",1,too_abstract,"Abstract mental states, too vague",False
fiddle,0.7455,"guitar,violin,saxophone,piano",4,good,Musical instruments you can fiddle with,True
filter,0.4839,"frequency,modulation,wavelength,amplitude",4,good,Signal processing terms that get filtered,True
finger,0.4993,"thumb,toe,wrist,tendon",2,shared_root,"Body parts, thumb is part of same category",False
flex,0.4642,"elbow,thumb,boot,knee",3,good,"Body parts that flex, boot seems odd",False
fling,0.5124,"affair,romance,relationship,friendship",4,good,Romantic fling is a clear connection,True
flour,0.5501,"dough,butter,bread,pastry",1,not_action,"Flour is a noun, not an action verb",False
fly,0.7559,"airplane,aircraft,plane,jet",5,good,Perfect - things that fly,True
forecast,0.5223,"weather,storm,rain,rainfall",5,good,Weather phenomena that are forecasted,True
foresee,0.519,"possibility,danger,risk,threat",4,good,Things you might foresee,True
formalize,0.5706,"notion,reasoning,logic,theory",3,too_abstract,"Abstract concepts, connection not clear",False
formulate,0.5638,"hypothesis,theory,theorem,notion",4,good,Things you formulate in science/math,True
fort,0.5257,"garrison,infantry,battalion,colonel",1,not_action,"Fort is a noun, not an action verb",False
founder,0.472,"chairman,director,editor,president",1,not_action,"Founder as noun, not verb meaning to fail",False
fracture,0.7148,"forearm,ankle,wrist,elbow",5,good,Body parts that can fracture,True
freeze,0.4727,"frost,cold,snow,winter",4,good,Cold weather phenomena related to freezing,True
fuel,0.4909,"gallon,gasoline,pump,oil",4,good,Fuel-related items,True
fulfill,0.4792,"ambition,commitment,desire,vision",4,good,Things you fulfill or achieve,True
fume,0.466,"silica,zinc,oxide,silicon",3,obscure,"Chemical compounds, connection to fuming unclear",False
fund,0.5246,"investor,equity,investment,asset",4,good,Financial terms related to funding,True
gag,0.5312,"joke,parody,funny,humor",4,good,"Comedy terms, gag as joke",True
gallop,0.568,"jockey,horse,colt,rider",5,good,"Horse racing terms, horses gallop",True
gauge,0.6342,"locomotive,railway,rail,railroad",4,good,Railroad gauge is track width,True
generalize,0.4778,"scalar,theorem,integer,polynomial",2,obscure,"Math terms, connection to generalize unclear",False
glaze,0.5373,"bisque,porcelain,pottery,ceramic",5,good,Pottery items that get glazed,True
glorify,0.4918,"god,heaven,divine,holy",4,good,"Religious terms, glorifying God",True
glue,0.5186,"adhesive,epoxy,varnish,resin",3,too_direct,Adhesive is too similar to glue,False
graduate,0.6311,"undergraduate,student,faculty,university",4,good,Academic terms related to graduation,True
graph,0.4598,"vertex,polynomial,invariant,integer",2,obscure,"Advanced math terms, unclear connection",False
grass,0.4871,"forage,grazing,hay,vegetation",1,not_action,"Grass is a noun, not an action verb",False
grate,0.6034,"boiler,heater,furnace,stove",4,good,Heating equipment with grates,True
gravel,0.5153,"sand,asphalt,dirt,mud",1,not_action,"Gravel is a noun, not an action verb",False
greet,0.488,"hug,hello,kiss,smile",4,good,Ways to greet someone,True
grind,0.6045,"flour,corn,grain,wheat",5,good,Grains that get ground into flour,True
grow,0.5789,"corn,wheat,crop,cotton",5,good,Crops that farmers grow,True
guess,0.5767,"sort,know,think,kind",2,too_abstract,"Vague words, unclear connection to guessing",False
hail,0.503,"rain,snow,storm,flooding",4,good,"Weather phenomena, hail as precipitation",True
handle,0.4789,"cargo,terminal,freight,passenger",4,good,Things handled in transportation,True
harness,0.4629,"racetrack,racing,saddle,horse",4,good,"Horse racing equipment, horses wear harnesses",True
hasten,0.4964,"downfall,demise,departure,collapse",3,too_abstract,Abstract negative outcomes,False
hatch,0.451,"brood,feed,feeding,fed",3,good,Bird/egg related terms but feeding seems off,False
heal,0.4984,"sickness,illness,infection,injury",5,good,Medical conditions that heal,True
hear,0.5356,"say,feel,tell,think",2,too_abstract,"Abstract verbs, unclear connection",False
hit,0.4827,"inning,homer,pitcher,pitch",5,good,"Baseball terms, hitting the ball",True
hop,0.4796,"rap,artist,musician,music",4,good,Hip-hop music genre,True
hover,0.4859,"takeoff,fly,flight,jet",4,good,"Aviation terms, aircraft can hover",True
howl,0.5237,"wail,roar,scream,cry",3,shared_root,All similar sound verbs,False
hue,0.555,"magenta,purple,crimson,yellow",1,not_action,"Hue is a noun, not an action verb",False
hunger,0.5421,"malnutrition,starvation,famine,poverty",1,not_action,"Hunger as noun, not action verb",False
hymn,0.517,"sung,melody,verse,poem",1,not_action,"Hymn is a noun, not an action verb",False
impart,0.5479,"aroma,flavor,taste,texture",4,good,Sensory qualities that ingredients impart,True
impose,0.5442,"sentence,penalty,punishment,imprisonment",4,good,Legal penalties that are imposed,True
improvise,0.6179,"cadenza,melody,violin,piano",4,good,"Musical terms, musicians improvise",True
indulge,0.4964,"passion,lust,fascination,desire",3,too_abstract,Abstract emotions/desires,False
inherit,0.7266,"uncle,grandfather,aunt,cousin",5,good,Family members you inherit from,True
inhibit,0.57,"protease,secretion,enzyme,metabolism",3,obscure,Technical biochemistry terms,False
institute,0.5496,"biology,economics,science,mathematics",2,better_answer_exists,"Academic subjects, but institute as noun more natural",False
intern,0.5294,"hospital,surgeon,physician,medical",4,good,"Medical terms, doctors intern at hospitals",True
invalidate,0.5312,"statute,provision,legislation,amendment",4,good,Legal documents that can be invalidated,True
invite,0.5835,"dinner,feast,meal,lunch",5,good,Meals you invite people to,True
invoke,0.6137,"deity,divine,goddess,god",4,good,Religious entities you invoke,True
isolate,0.5006,"bacteria,organism,protein,tissue",4,good,Biological specimens that are isolated,True
jam,0.7417,"drummer,vocalist,guitarist,band",5,good,Musicians who jam together,True
jaw,0.5225,"teeth,tooth,bone,skull",1,not_action,"jaw is primarily a noun, not an action verb",False
jockey,0.59,"filly,colt,horse,stud",3,good,"jockey as verb means to maneuver/compete, horses relate but connection is indirect",False
journey,0.4953,"voyage,trip,adventure,expedition",1,too_direct,all nouns are direct synonyms of journey as a noun,False
judge,0.5141,"court,magistrate,prosecutor,attorney",2,better_answer_exists,nouns suggest legal profession/court rather than the action of judging,False
know,0.5384,"think,want,going,feel",2,too_abstract,"abstract mental states, weak connection to knowing specifically",False
knuckle,0.5036,"fingertip,finger,thumb,elbow",1,not_action,"knuckle is primarily a noun, body parts don't suggest action",False
label,0.5274,"punk,jazz,band,music",3,good,"music genres can be labeled/categorized, reasonable connection",False
lace,0.5798,"satin,linen,silk,velvet",2,better_answer_exists,fabrics suggest weaving/making rather than lacing,False
laminate,0.59,"epoxy,resin,adhesive,polymer",4,good,"materials used in lamination process, good technical connection",True
lard,0.5462,"pork,pig,beef,hog",2,better_answer_exists,meat sources suggest butchering/cooking rather than adding lard,False
launch,0.5355,"orbit,rocket,spacecraft,missile",5,good,perfect connection - all things that are launched into space,True
lean,0.495,"pork,beef,fat,meat",3,good,"lean describes meat types, reasonable connection",False
lease,0.5455,"rent,tenant,landlord,rental",4,good,"all related to leasing property, strong connection",True
lengthen,0.4611,"tendon,limb,muscle,bone",2,wrong_sense,body parts don't naturally suggest the action of lengthening,False
lessen,0.5273,"likelihood,risk,danger,threat",4,good,"things that can be lessened/reduced, good connection",True
let,0.5032,"know,lie,tell,say",2,too_abstract,"communication verbs, weak connection to letting/allowing",False
loom,0.5442,"cloth,fabric,embroidery,silk",4,good,"textiles made on looms, strong connection",True
lunch,0.5782,"dinner,breakfast,meal,snack",1,too_direct,"lunch is primarily a noun, other meals are direct synonyms",False
manufacture,0.5043,"cloth,leather,silk,cotton",4,good,"materials that are manufactured, good connection",True
marry,0.7546,"niece,cousin,daughter,aunt",2,wrong_sense,family relations don't naturally suggest marrying action,False
marshal,0.5348,"commander,officer,chief,deputy",2,better_answer_exists,law enforcement ranks suggest commanding rather than marshaling,False
marvel,0.4787,"comic,storyline,villain,character",1,better_answer_exists,"Marvel Comics references, not the action of marveling",False
massage,0.4558,"therapist,therapy,therapeutic,stimulation",4,good,"massage therapy context, good connection",True
mature,0.4645,"fruit,tree,leaf,flower",4,good,"plants that mature/ripen, good connection",True
maximize,0.4508,"efficiency,productivity,utilization,effectiveness",5,good,perfect - things that are maximized in business,True
melt,0.5794,"viscosity,polymer,adhesive,coating",3,good,"materials that can melt, technical but valid",False
mist,0.5261,"fog,rain,snow,wet",2,better_answer_exists,"weather phenomena, mist is more noun-like here",False
mix,0.48,"pop,rap,punk,rock",3,good,"music genres that can be mixed, reasonable DJ connection",False
mourn,0.5224,"grief,sadness,tragedy,joy",3,good,"emotions related to mourning, joy is odd but others fit",False
multiply,0.4802,"integer,decimal,scalar,polynomial",4,good,mathematical terms that can be multiplied,True
murder,0.5602,"parole,conviction,imprisonment,sentence",2,sensitive,"sensitive topic, legal consequences rather than the act",False
negotiate,0.5413,"agreement,lease,deal,contract",5,good,perfect - things that are negotiated,True
nurse,0.6345,"practitioner,physician,surgeon,doctor",2,better_answer_exists,"medical professionals, nurse as noun not verb",False
nurture,0.4877,"creativity,innovation,excellence,passion",4,good,"qualities that can be nurtured, good connection",True
obtain,0.5386,"permit,permission,consent,approval",5,good,perfect - things that are obtained/acquired,True
operate,0.4976,"bus,ferry,rail,transit",4,good,transportation systems that are operated,True
oppose,0.6623,"legislation,amendment,bill,proposal",5,good,perfect - political items that can be opposed,True
ordain,0.6975,"clergy,priest,bishop,archbishop",4,good,religious positions that are ordained,True
oust,0.4719,"dictator,junta,coup,regime",4,good,political entities that can be ousted,True
outnumber,0.4526,"men,male,female,adult",3,good,demographic groups that can outnumber each other,False
overhang,0.4715,"porch,balcony,chimney,roof",3,good,architectural features that can overhang,False
overload,0.4746,"hypertrophy,ventricle,edema,liver",2,obscure,"medical terms, connection to overloading is unclear",False
overrun,0.5813,"platoon,infantry,artillery,battalion",4,good,military units that can overrun positions,True
pacify,0.6756,"revolt,rebellion,unrest,uprising",5,good,perfect - disturbances that are pacified,True
paint,0.5019,"varnish,acrylic,pigment,coating",4,good,painting materials and types,True
pass,0.4717,"touchdown,receiver,quarterback,offense",4,good,football terms related to passing,True
pay,0.4791,"compensation,salary,wage,pension",4,good,forms of payment,True
pelt,0.4735,"beaver,wolf,tiger,lion",2,better_answer_exists,"animals with pelts, but pelt as noun not verb",False
perish,0.5276,"everlasting,heaven,god,divine",2,wrong_sense,eternal/divine concepts oppose perishing,False
perpetuate,0.5117,"oppression,injustice,slavery,discrimination",4,good,social problems that are perpetuated,True
photograph,0.4978,"portrait,picture,depicting,painting",3,good,"visual art forms, some photographed",False
pitch,0.4986,"batter,inning,catcher,bat",4,good,baseball terms related to pitching,True
plank,0.5152,"flooring,wood,lumber,oak",2,better_answer_exists,"wood materials, plank more noun-like",False
plaster,0.5598,"drywall,stucco,flooring,tile",4,good,building materials that involve plastering,True
plead,0.5846,"probation,sentence,parole,jail",4,good,legal consequences one pleads about,True
please,0.6098,"see,tell,know,say",2,too_abstract,"communication verbs, weak connection to pleasing",False
plumb,0.5088,"ellipsoid,perpendicular,vertical,horizontal",3,good,geometric terms related to plumb/vertical alignment,False
plunge,0.4855,"dip,slide,dive,drop",4,good,downward movements similar to plunging,True
pop,0.5942,"ballad,song,album,vocalist",2,better_answer_exists,"music terms, pop as genre not verb",False
port,0.5366,"container,cargo,shipping,freight",2,better_answer_exists,"shipping terms, port as noun not verb",False
portray,0.4784,"villain,character,storyline,hero",4,good,dramatic elements that are portrayed,True
pose,0.7227,"ankle,knee,shoulder,hip",3,good,body parts involved in posing,False
postulate,0.455,"relativity,thermodynamics,theorem,entropy",4,good,scientific concepts that are postulated,True
pour,0.4537,"drink,bottle,wine,glass",4,good,liquids and containers for pouring,True
pray,0.5421,"god,salvation,divine,heaven",4,good,religious concepts related to prayer,True
preach,0.6221,"pastor,congregation,clergy,church",4,good,religious context for preaching,True
precede,0.6163,"noun,verb,adjective,phrase",3,good,grammatical elements that can precede others,False
predict,0.4621,"likelihood,probability,estimate,risk",4,good,statistical concepts used in prediction,True
prejudice,0.5988,"bigotry,intolerance,hatred,ignorance",2,too_direct,synonyms of prejudice as noun,False
prescribe,0.5293,"patient,practitioner,nurse,physician",4,good,medical context for prescribing,True
preserve,0.5507,"wildlife,conservation,habitat,forest",5,good,perfect - natural things that are preserved,True
proclaim,0.4539,"independence,sovereign,liberty,sovereignty",4,good,political concepts that are proclaimed,True
profess,0.54,"faith,religion,morality,religious",4,good,beliefs that are professed,True
promote,0.4782,"equality,unity,democracy,peace",5,good,perfect - ideals that are promoted,True
pronounce,0.53,"syllable,vowel,consonant,alphabet",4,good,linguistic elements involved in pronunciation,True
propel,0.4924,"spacecraft,propulsion,rocket,orbit",2,too_direct,propulsion is directly derived from propel,False
provoke,0.5373,"jealousy,outrage,hatred,anger",4,good,emotions that can be provoked,True
publish,0.534,"periodical,publication,journal,magazine",2,too_direct,publication is directly derived from publish,False
pump,0.5832,"piston,nozzle,valve,rotor",4,good,mechanical parts that work with pumping,True
purify,0.4754,"chromatography,antibody,protein,enzyme",2,obscure,too technical and specialized,False
putt,0.6494,"birdie,bogey,par,fairway",4,good,golf terms related to putting,True
pyramid,0.4651,"tomb,burial,temple,monument",1,not_action,"pyramid is a noun, not an action verb",False
qualify,0.4924,"tournament,round,playoff,championship",4,good,competitions you qualify for,True
raft,0.4945,"canoe,sail,boat,voyage",2,not_action,raft as verb is uncommon; nouns suggest water transport,False
