category,mechanism,word1,word2,word3,word4,answer,coherence_score,hypernym_depth,bucket_size
yellow,wordnet_easy_hypernym,driveway,highway,interstate,turnpike,road,0.4492,6,25
yellow,wordnet_easy_hypernym,baby,calf,colt,foal,young mammal,0.4150,8,12
yellow,wordnet_easy_hypernym,china,pan,porcelain,samovar,utensil,0.3571,7,14
yellow,wordnet_easy_hypernym,radio,stereo,television,transmitter,electronic equipment,0.3805,7,21
yellow,wordnet_easy_hypernym,abstraction,canvas,cityscape,watercolor,graphic art,0.3802,7,15
yellow,wordnet_easy_hypernym,convent,farmhouse,hall,residence,house,0.3645,7,14
yellow,wordnet_easy_hypernym,gunman,hoodlum,murderer,robber,criminal,0.4125,7,37
yellow,wordnet_easy_hypernym,baron,knight,lord,noble,male aristocrat,0.3508,6,10
yellow,wordnet_easy_hypernym,batter,catcher,lefthander,shortstop,ballplayer,0.5229,6,16
yellow,wordnet_easy_hypernym,drum,sax,string,trumpet,musical instrument,0.3781,7,27
yellow,wordnet_easy_hypernym,coconut,gourd,grape,pineapple,fruit,0.4413,8,49
yellow,wordnet_easy_hypernym,mustard,onion,radish,spinach,vegetable,0.4850,6,26
yellow,wordnet_easy_hypernym,baritone,minstrel,rocker,vocalist,musician,0.3828,6,24
yellow,wordnet_easy_hypernym,cottage,farmhouse,mansion,residence,house,0.5384,7,14
yellow,wordnet_easy_hypernym,cannon,carbine,pistol,spear,weapon,0.4006,8,40
yellow,wordnet_easy_hypernym,olive,paste,sauce,vinegar,condiment,0.3584,8,14
yellow,wordnet_easy_hypernym,drone,drum,piano,saxophone,musical instrument,0.3545,7,27
yellow,wordnet_easy_hypernym,mayonnaise,sauce,stick,vinegar,condiment,0.4042,8,14
yellow,wordnet_easy_hypernym,catsup,dressing,sauce,vinegar,condiment,0.4074,8,14
yellow,wordnet_easy_hypernym,resident,surgeon,veterinarian,veterinary,doctor,0.3626,8,16
yellow,wordnet_easy_hypernym,cottage,lodge,restaurant,teahouse,building,0.3578,6,69
yellow,wordnet_easy_hypernym,cheekbone,cortex,mucosa,parenchyma,animal tissue,0.3648,6,59
yellow,wordnet_easy_hypernym,drum,guitar,tambourine,whistle,musical instrument,0.3828,7,27
yellow,wordnet_easy_hypernym,berry,grape,oilseed,sloe,fruit,0.4190,8,49
yellow,wordnet_easy_hypernym,lecturer,principal,professor,tutor,educator,0.3830,6,19
yellow,wordnet_easy_hypernym,catsup,gravy,relish,sauce,condiment,0.3703,8,14
yellow,wordnet_easy_hypernym,calorimeter,gage,manometer,synchronizer,measuring instrument,0.3659,8,31
yellow,wordnet_easy_hypernym,arm,finger,limb,thigh,extremity,0.3875,6,17
yellow,wordnet_easy_hypernym,engine,generator,outboard,turbine,motor,0.4371,8,8
yellow,wordnet_easy_hypernym,avenue,boulevard,thoroughfare,turnpike,road,0.4071,6,25
yellow,wordnet_easy_hypernym,dentist,pathologist,physician,surgeon,medical practitioner,0.4980,7,20
yellow,wordnet_easy_hypernym,cottage,hearth,house,mansion,dwelling,0.4228,7,16
yellow,wordnet_easy_hypernym,arch,chine,heel,spine,skeletal structure,0.3516,6,9
yellow,wordnet_easy_hypernym,assassin,blackmailer,butcher,hoodlum,criminal,0.3543,7,37
yellow,wordnet_easy_hypernym,beard,bouffant,mustache,stubble,hair,0.5547,7,26
yellow,wordnet_easy_hypernym,adhesion,bone,epiphysis,tooth,connective tissue,0.3546,7,32
yellow,wordnet_easy_hypernym,burglar,ghoul,hijacker,thief,criminal,0.3847,7,37
yellow,wordnet_easy_hypernym,bomber,cruiser,destroyer,warship,military vehicle,0.3790,8,12
yellow,wordnet_easy_hypernym,apartment,convent,palace,villa,housing,0.4210,6,34
yellow,wordnet_easy_hypernym,baritone,guitarist,soprano,vocalist,musician,0.5785,6,24
yellow,wordnet_easy_hypernym,compartment,foyer,lavatory,vestibule,room,0.4127,7,69
yellow,wordnet_easy_hypernym,horn,piano,string,woodwind,musical instrument,0.3613,7,27
yellow,wordnet_easy_hypernym,grain,grapefruit,legume,pea,fruit,0.3565,8,49
yellow,wordnet_easy_hypernym,cannon,knife,rifle,shotgun,weapon,0.4605,8,40
yellow,wordnet_easy_hypernym,beet,marrow,mushroom,potato,vegetable,0.3770,6,26
yellow,wordnet_easy_hypernym,germ,kelp,protozoa,seaweed,microorganism,0.3542,6,11
yellow,wordnet_easy_hypernym,cartilage,forehead,posterior,scalp,animal tissue,0.3668,6,59
yellow,wordnet_easy_hypernym,bullet,revolver,rifle,slug,weapon,0.4207,8,40
yellow,wordnet_easy_hypernym,boulevard,parkway,street,trail,road,0.4205,6,25
yellow,wordnet_easy_hypernym,infantryman,rebel,rifleman,soldier,enlisted person,0.4107,7,14
yellow,wordnet_easy_hypernym,dip,gravy,sauce,vinegar,condiment,0.3704,8,14
yellow,wordnet_easy_hypernym,greatcoat,jacket,muffler,sweater,garment,0.4143,7,69
yellow,wordnet_easy_hypernym,diagnostician,physician,psychiatrist,veterinary,medical practitioner,0.3581,7,20
yellow,wordnet_easy_hypernym,celebrant,diocesan,priest,rector,clergyman,0.4246,6,26
yellow,wordnet_easy_hypernym,cortex,parenchyma,vein,xylem,plant tissue,0.3786,6,7
yellow,wordnet_easy_hypernym,autoloader,blade,gun,handgun,weapon,0.3667,8,40
yellow,wordnet_easy_hypernym,catsup,mustard,paste,sauce,condiment,0.3934,8,14
yellow,wordnet_easy_hypernym,dentist,doctor,physician,resident,medical practitioner,0.5014,7,20
yellow,wordnet_easy_hypernym,hitter,outfielder,pitcher,slugger,ballplayer,0.5719,6,16
yellow,wordnet_easy_hypernym,colt,foal,lamb,puppy,young mammal,0.4084,8,12
yellow,wordnet_easy_hypernym,abode,cottage,hall,residence,housing,0.3662,6,34
yellow,wordnet_easy_hypernym,shin,skull,teeth,tendon,connective tissue,0.3713,7,32
yellow,wordnet_easy_hypernym,castle,hospital,mansion,monastery,building,0.3872,6,69
yellow,wordnet_easy_hypernym,anterior,forehead,skull,tusk,bone,0.3730,8,23
yellow,wordnet_easy_hypernym,garage,schoolhouse,smokehouse,tavern,building,0.3675,6,69
yellow,wordnet_easy_hypernym,cityscape,painting,piece,sculpture,art,0.3553,6,37
yellow,wordnet_easy_hypernym,castle,convent,house,monastery,dwelling,0.4759,7,16
yellow,wordnet_easy_hypernym,bead,necklace,pearl,ring,jewelry,0.3551,7,17
yellow,wordnet_easy_hypernym,castle,manor,palace,schoolhouse,building,0.4423,6,69
yellow,wordnet_easy_hypernym,accelerometer,calorimeter,gage,pyrometer,measuring instrument,0.3895,8,31
yellow,wordnet_easy_hypernym,carport,castle,inn,manor,building,0.3819,6,69
yellow,wordnet_easy_hypernym,alto,baritone,minstrel,soprano,musician,0.4760,6,24
yellow,wordnet_easy_hypernym,accelerator,pedal,stick,throttle,lever,0.3664,8,13
yellow,wordnet_easy_hypernym,bone,rib,skull,tusk,connective tissue,0.4546,7,32
yellow,wordnet_easy_hypernym,fang,jaw,skull,tendon,connective tissue,0.3867,7,32
yellow,wordnet_easy_hypernym,castle,cottage,manor,studio,housing,0.3963,6,34
yellow,wordnet_easy_hypernym,pyrometer,sonar,synchronizer,thermocouple,measuring instrument,0.3965,8,31
yellow,wordnet_easy_hypernym,catcher,fireman,lefthander,pitcher,ballplayer,0.4219,6,16
yellow,wordnet_easy_hypernym,alto,baritone,bass,soprano,singer,0.5535,7,13
yellow,wordnet_easy_hypernym,captain,cop,detective,trooper,policeman,0.3718,7,12
yellow,wordnet_easy_hypernym,bishop,deacon,minister,vicar,clergyman,0.4388,6,26
yellow,wordnet_easy_hypernym,chick,kitten,pup,puppy,young,0.6307,7,16
yellow,wordnet_easy_hypernym,pathologist,physician,psychiatrist,specialist,medical practitioner,0.3738,7,20
yellow,wordnet_easy_hypernym,hovel,refuge,sanctuary,shanty,shelter,0.3553,6,14
yellow,wordnet_easy_hypernym,fur,overcoat,shirt,turtleneck,garment,0.3935,7,69
yellow,wordnet_easy_hypernym,flesh,rib,shin,tendon,animal tissue,0.3915,6,59
yellow,wordnet_easy_hypernym,bunker,castle,fortress,stockade,defensive structure,0.3614,6,15
yellow,wordnet_easy_hypernym,diagnostician,matron,nurse,physician,health professional,0.3976,6,25
yellow,wordnet_easy_hypernym,cabin,cottage,monastery,palace,house,0.3576,7,14
yellow,wordnet_easy_hypernym,churchman,deacon,pastor,shepherd,clergyman,0.4083,6,26
yellow,wordnet_easy_hypernym,cabin,farmhouse,monastery,residence,house,0.3884,7,14
yellow,wordnet_easy_hypernym,castle,hall,manor,palace,house,0.4406,7,14
yellow,wordnet_easy_hypernym,brain,heart,liver,tongue,variety meat,0.3529,6,4
yellow,wordnet_easy_hypernym,cheekbone,forehead,hammer,shin,bone,0.3510,8,23
yellow,wordnet_easy_hypernym,anterior,cheekbone,posterior,skull,bone,0.3867,8,23
yellow,wordnet_easy_hypernym,rib,skull,submucosa,tendon,connective tissue,0.3500,7,32
yellow,wordnet_easy_hypernym,aorta,artery,capillary,vein,blood vessel,0.3824,8,5
yellow,wordnet_easy_hypernym,cottage,lodge,monastery,villa,house,0.4299,7,14
yellow,wordnet_easy_hypernym,grapefruit,lemon,olive,rye,fruit,0.4129,8,49
yellow,wordnet_easy_hypernym,diagnostician,pathologist,specialist,veterinarian,doctor,0.3571,8,16
yellow,wordnet_easy_hypernym,fresco,picture,sculpture,statue,art,0.3760,6,37
yellow,wordnet_easy_hypernym,fang,shaft,skull,tooth,bone,0.3510,8,23
yellow,wordnet_easy_hypernym,instructor,prof,schoolmaster,teacher,educator,0.3641,6,19
yellow,wordnet_easy_hypernym,brothel,cafe,farmhouse,monastery,building,0.3552,6,69
yellow,wordnet_easy_hypernym,gut,kidney,liver,lung,internal organ,0.4482,6,11
yellow,wordnet_easy_hypernym,barrack,cabin,farmhouse,manor,housing,0.3623,6,34
yellow,wordnet_easy_hypernym,matron,nurse,orthodontist,psychiatrist,health professional,0.3982,6,25
yellow,wordnet_easy_hypernym,freeway,highway,interstate,roadway,road,0.6317,6,25
yellow,wordnet_easy_hypernym,gut,heart,lung,stomach,internal organ,0.3858,6,11
yellow,wordnet_easy_hypernym,cherry,fig,orange,pear,fruit,0.3960,8,49
yellow,wordnet_easy_hypernym,calf,filly,foal,kitten,young,0.4027,7,16
yellow,wordnet_easy_hypernym,alto,baritone,coloratura,vocalist,musician,0.5212,6,24
yellow,wordnet_easy_hypernym,guitar,saxophone,string,violin,musical instrument,0.4515,7,27
yellow,wordnet_easy_hypernym,chancellor,lecturer,principal,teacher,educator,0.3705,6,19
yellow,wordnet_easy_hypernym,abdominal,deltoid,gastrocnemius,lat,skeletal muscle,0.4180,8,9
yellow,wordnet_easy_hypernym,berry,fig,grapefruit,lime,edible fruit,0.4563,6,22
yellow,wordnet_easy_hypernym,farmhouse,manor,palace,villa,house,0.4950,7,14
yellow,wordnet_easy_hypernym,basin,fountain,lavatory,toilet,plumbing fixture,0.3590,6,10
yellow,wordnet_easy_hypernym,closet,couch,dresser,wardrobe,furniture,0.4454,7,49
yellow,wordnet_easy_hypernym,engraving,fresco,painting,watercolor,graphic art,0.5045,7,15
yellow,wordnet_easy_hypernym,banquet,breakfast,luncheon,refreshment,meal,0.4360,6,16
yellow,wordnet_easy_hypernym,earring,necklace,pearl,strand,jewelry,0.3801,7,17
yellow,wordnet_easy_hypernym,grapefruit,lime,pineapple,sloe,edible fruit,0.4407,6,22
yellow,wordnet_easy_hypernym,cheekbone,epiphysis,forehead,rib,bone,0.3895,8,23
yellow,wordnet_easy_hypernym,guitarist,minstrel,pianist,violinist,musician,0.4971,6,24
yellow,wordnet_easy_hypernym,academic,chancellor,lecturer,professor,educator,0.4182,6,19
yellow,wordnet_easy_hypernym,baby,chick,kitten,nestling,young,0.3602,7,16
yellow,wordnet_easy_hypernym,pitcher,runner,southpaw,twirler,ballplayer,0.3614,6,16
yellow,wordnet_easy_hypernym,cloak,gown,sweatshirt,undershirt,garment,0.3584,7,69
yellow,wordnet_easy_hypernym,apothecary,physician,psychiatrist,veterinarian,health professional,0.3737,6,25
yellow,wordnet_easy_hypernym,barbecue,breakfast,dinner,picnic,meal,0.5724,6,16
yellow,wordnet_easy_hypernym,fang,forearm,forefinger,thumb,extremity,0.3643,6,17
yellow,wordnet_easy_hypernym,pepper,radish,squash,tomato,vegetable,0.4340,6,26
yellow,wordnet_easy_hypernym,bicycle,cart,trolley,wheel,wheeled vehicle,0.3879,7,55
yellow,wordnet_easy_hypernym,buffet,dinner,picnic,tea,meal,0.3969,6,16
yellow,wordnet_easy_hypernym,cabin,lodge,mansion,monastery,house,0.3647,7,14
yellow,wordnet_easy_hypernym,coach,headmaster,missionary,teacher,educator,0.3809,6,19
yellow,wordnet_easy_hypernym,farmhouse,inn,mansion,monastery,building,0.5213,6,69
yellow,wordnet_easy_hypernym,cop,detective,inspector,investigator,policeman,0.4997,7,12
yellow,wordnet_easy_hypernym,colt,gelding,stallion,stud,male,0.6300,7,6
yellow,wordnet_easy_hypernym,cowman,laborer,peasant,porter,workman,0.3619,6,26
yellow,wordnet_easy_hypernym,apple,grapefruit,orange,peach,edible fruit,0.4837,6,22
yellow,wordnet_easy_hypernym,castle,cottage,hearth,lodge,dwelling,0.3625,7,16
yellow,wordnet_easy_hypernym,beard,fur,fuzz,mustache,body covering,0.3697,6,40
yellow,wordnet_easy_hypernym,dinner,feast,supper,tea,meal,0.4165,6,16
yellow,wordnet_easy_hypernym,bead,emerald,gem,pearl,jewelry,0.3759,7,17
yellow,wordnet_easy_hypernym,intima,parenchyma,pleura,spleen,animal tissue,0.5066,6,59
yellow,wordnet_easy_hypernym,abdominal,deltoid,gastrocnemius,lat,muscle,0.4180,7,10
yellow,wordnet_easy_hypernym,bayonet,blade,gun,shotgun,weapon,0.3789,8,40
yellow,wordnet_easy_hypernym,governess,lecturer,teacher,tutor,educator,0.3959,6,19
yellow,wordnet_easy_hypernym,blade,burr,chisel,razor,cutting implement,0.3541,8,14
yellow,wordnet_easy_hypernym,captain,lieutenant,sergeant,warden,lawman,0.4217,6,22
yellow,wordnet_easy_hypernym,cowboy,cowhand,hostler,wrangler,hired hand,0.3579,8,10
yellow,wordnet_easy_hypernym,bypass,freeway,highway,parkway,road,0.4626,6,25
yellow,wordnet_easy_hypernym,digger,hostler,laborer,porter,workman,0.3638,6,26
yellow,wordnet_easy_hypernym,castle,convent,hall,manor,dwelling,0.3868,7,16
yellow,wordnet_easy_hypernym,calf,foal,hog,pup,young,0.3675,7,16
yellow,wordnet_easy_hypernym,catsup,gravy,paste,vinegar,condiment,0.3985,8,14
yellow,wordnet_easy_hypernym,colon,heart,jejunum,stomach,internal organ,0.3629,6,11
yellow,wordnet_easy_hypernym,grapefruit,legume,lemon,sloe,fruit,0.3661,8,49
yellow,wordnet_easy_hypernym,alto,baritone,guitarist,pianist,musician,0.5615,6,24
yellow,wordnet_easy_hypernym,bandit,burglar,hijacker,pirate,thief,0.3774,8,10
yellow,wordnet_easy_hypernym,cheekbone,forehead,shin,tendon,connective tissue,0.4821,7,32
yellow,wordnet_easy_hypernym,cottage,hall,manor,villa,house,0.3770,7,14
yellow,wordnet_easy_hypernym,banana,grape,lime,strawberry,edible fruit,0.4695,6,22
yellow,wordnet_easy_hypernym,pan,saucepan,skillet,urn,utensil,0.4065,7,14
yellow,wordnet_easy_hypernym,baritone,drone,sax,trumpet,wind instrument,0.3660,8,13
yellow,wordnet_easy_hypernym,cop,investigator,marshal,sheriff,lawman,0.3506,6,22
yellow,wordnet_easy_hypernym,cynic,existentialist,libertarian,realist,philosopher,0.3818,6,11
yellow,wordnet_easy_hypernym,cop,deputy,lieutenant,warden,lawman,0.3946,6,22
yellow,wordnet_easy_hypernym,convent,house,lodge,residence,dwelling,0.3887,7,16
yellow,wordnet_easy_hypernym,buckboard,jeep,oxcart,saloon,wheeled vehicle,0.3790,7,55
yellow,wordnet_easy_hypernym,fin,finger,forearm,toe,extremity,0.3768,6,17
yellow,wordnet_easy_hypernym,bayonet,revolver,rifle,rod,weapon,0.3944,8,40
yellow,wordnet_easy_hypernym,assassin,bandit,henchman,shooter,criminal,0.3755,7,37
yellow,wordnet_easy_hypernym,celery,mustard,potato,squash,vegetable,0.3675,6,26
yellow,wordnet_easy_hypernym,gravy,mayonnaise,paste,sauce,condiment,0.4830,8,14
yellow,wordnet_easy_hypernym,chapel,convent,manor,temple,building,0.4061,6,69
yellow,wordnet_easy_hypernym,manometer,thermocouple,thermometer,wristwatch,measuring instrument,0.3522,8,31
yellow,wordnet_easy_hypernym,blade,hatchet,knife,lance,cutting implement,0.3557,8,14
yellow,wordnet_easy_hypernym,fennel,green,pepper,tomato,vegetable,0.3542,6,26
yellow,wordnet_easy_hypernym,castle,lodge,mansion,monastery,dwelling,0.4315,7,16
yellow,wordnet_easy_hypernym,bronze,carving,marble,sculpture,plastic art,0.3562,7,12
yellow,wordnet_easy_hypernym,baker,dealer,grocer,peddler,merchant,0.3571,6,15
yellow,wordnet_easy_hypernym,fang,forehead,posterior,teeth,bone,0.3698,8,23
yellow,wordnet_easy_hypernym,batter,fielder,hitter,lefthander,ballplayer,0.4878,6,16
yellow,wordnet_easy_hypernym,horn,trumpet,violin,whistle,musical instrument,0.4702,7,27
yellow,wordnet_easy_hypernym,chest,couch,desk,sofa,furniture,0.4299,7,49
yellow,wordnet_easy_hypernym,highroad,highway,roadway,trail,road,0.3568,6,25
yellow,wordnet_easy_hypernym,car,cart,cruiser,trailer,wheeled vehicle,0.3934,7,55
yellow,wordnet_easy_hypernym,hovel,loft,shanty,tent,shelter,0.3511,6,14
yellow,wordnet_easy_hypernym,driveway,expressway,freeway,turnpike,road,0.4723,6,25
yellow,wordnet_easy_hypernym,bathroom,cooler,lavatory,toilet,room,0.4640,7,69
yellow,wordnet_easy_hypernym,barbecue,buffet,lunch,refreshment,meal,0.4391,6,16
yellow,wordnet_easy_hypernym,baby,bird,chick,doll,girl,0.3624,6,9
yellow,wordnet_easy_hypernym,canvas,cityscape,landscape,picture,graphic art,0.3516,7,15
yellow,wordnet_easy_hypernym,cabin,closet,cockpit,galley,room,0.3847,7,69
yellow,wordnet_easy_hypernym,avocado,bean,cherry,sloe,fruit,0.3682,8,49
yellow,wordnet_easy_hypernym,finger,leg,limb,toe,extremity,0.4022,6,17
yellow,wordnet_easy_hypernym,banana,fig,grape,lemon,edible fruit,0.4471,6,22
yellow,wordnet_easy_hypernym,dentist,psychiatrist,resident,veterinarian,health professional,0.3862,6,25
yellow,wordnet_easy_hypernym,cheekbone,nasal,shin,skull,bone,0.3676,8,23
yellow,wordnet_easy_hypernym,abdominal,deltoid,pectoralis,serratus,skeletal muscle,0.4569,8,9
yellow,wordnet_easy_hypernym,inn,lodge,motel,resort,hotel,0.4702,7,5
yellow,wordnet_easy_hypernym,fennel,onion,potato,spinach,vegetable,0.5535,6,26
yellow,wordnet_easy_hypernym,chick,filly,foal,pup,young,0.4305,7,16
yellow,wordnet_easy_hypernym,compartment,lavatory,schoolroom,toilet,room,0.3947,7,69
yellow,wordnet_easy_hypernym,fresco,modernism,mosaic,painting,art,0.3882,6,37
yellow,wordnet_easy_hypernym,hovel,hut,pavilion,shanty,shelter,0.3861,6,14
yellow,wordnet_easy_hypernym,cheekbone,grinder,jaw,tendon,connective tissue,0.3576,7,32
yellow,wordnet_easy_hypernym,foal,hog,kitten,pup,young mammal,0.3845,8,12
yellow,wordnet_easy_hypernym,drone,fiddle,guitar,trumpet,musical instrument,0.3516,7,27
yellow,wordnet_easy_hypernym,freeway,interstate,parkway,turnpike,road,0.5391,6,25
yellow,wordnet_easy_hypernym,collie,puppy,terrier,toy,domestic animal,0.4432,7,15
yellow,wordnet_easy_hypernym,avocado,bean,peanut,pineapple,fruit,0.4551,8,49
yellow,wordnet_easy_hypernym,baritone,brass,saxophone,trumpet,wind instrument,0.4271,8,13
yellow,wordnet_easy_hypernym,catcher,lefthander,runner,southpaw,ballplayer,0.4298,6,16
yellow,wordnet_easy_hypernym,canvas,mosaic,painting,picture,art,0.4058,6,37
yellow,wordnet_easy_hypernym,gown,overcoat,robe,teddy,garment,0.3949,7,69
yellow,wordnet_easy_hypernym,cellar,closet,cupboard,drawer,storage space,0.5112,7,5
yellow,wordnet_easy_hypernym,chancellor,director,minister,president,administrator,0.3702,6,9
yellow,wordnet_easy_hypernym,gem,jewel,necklace,pearl,jewelry,0.4299,7,17
yellow,wordnet_easy_hypernym,bronze,engraving,marble,watercolor,art,0.3616,6,37
yellow,wordnet_easy_hypernym,candle,flashlight,lantern,torch,lamp,0.4408,8,10
yellow,wordnet_easy_hypernym,interviewer,narrator,orator,storyteller,speaker,0.3573,6,14
yellow,wordnet_easy_hypernym,car,cruiser,truck,van,wheeled vehicle,0.6018,7,55
yellow,wordnet_easy_hypernym,bead,diamond,gem,necklace,jewelry,0.3606,7,17
yellow,wordnet_easy_hypernym,autoloader,firearm,knife,pistol,weapon,0.4214,8,40
yellow,wordnet_easy_hypernym,abstractionist,cubist,impressionist,watercolorist,painter,0.5013,6,11
yellow,wordnet_easy_hypernym,carport,cottage,garage,tavern,building,0.3852,6,69
yellow,wordnet_easy_hypernym,diagnostician,doctor,nurse,pathologist,health professional,0.4340,6,25
yellow,wordnet_easy_hypernym,cruiser,trailer,truck,wagon,wheeled vehicle,0.4638,7,55
yellow,wordnet_easy_hypernym,collie,poodle,puppy,toy,dog,0.4489,8,11
yellow,wordnet_easy_hypernym,castle,cottage,mansion,monastery,house,0.4952,7,14
yellow,wordnet_easy_hypernym,hall,lodge,mansion,villa,house,0.3806,7,14
yellow,wordnet_easy_hypernym,greatcoat,overcoat,shirt,veil,garment,0.3954,7,69
yellow,wordnet_easy_hypernym,cape,poncho,raincoat,turtleneck,garment,0.4846,7,69
yellow,wordnet_easy_hypernym,automobile,buggy,jeep,tractor,wheeled vehicle,0.3697,7,55
yellow,wordnet_easy_hypernym,catcher,fielder,southpaw,twirler,ballplayer,0.4049,6,16
yellow,wordnet_easy_hypernym,blade,chisel,comb,knife,tool,0.3524,7,50
yellow,wordnet_easy_hypernym,brain,hemisphere,hypothalamus,neocortex,neural structure,0.3867,6,9
yellow,wordnet_easy_hypernym,sax,saxophone,trumpet,whistle,wind instrument,0.5314,8,13
yellow,wordnet_easy_hypernym,cattleman,cowboy,cowman,woman,laborer,0.3758,7,21
yellow,wordnet_easy_hypernym,brigadier,captain,corporal,skipper,military officer,0.3535,7,15
yellow,wordnet_easy_hypernym,blade,cutter,lance,razor,cutting implement,0.3524,8,14
yellow,wordnet_easy_hypernym,commander,lieutenant,marshal,skipper,commissioned officer,0.3797,8,11
yellow,wordnet_easy_hypernym,calf,filly,foal,kitten,young mammal,0.4027,8,12
yellow,wordnet_easy_hypernym,cowboy,cowhand,cowman,porter,laborer,0.3728,7,21
yellow,wordnet_easy_hypernym,expressway,freeway,street,thoroughfare,road,0.5216,6,25
yellow,wordnet_easy_hypernym,alto,bass,soprano,violinist,musician,0.5247,6,24
yellow,wordnet_easy_hypernym,deputy,inspector,investigator,sheriff,lawman,0.3583,6,22
yellow,wordnet_easy_hypernym,cattleman,cowman,picker,wrangler,hired hand,0.3832,8,10
yellow,wordnet_easy_hypernym,bass,fiddle,saxophone,tambourine,musical instrument,0.4427,7,27
yellow,wordnet_easy_hypernym,algae,bacteria,kelp,protozoa,microorganism,0.5115,6,11
yellow,wordnet_easy_hypernym,collage,panorama,portrait,portrayal,picture,0.3512,7,13
yellow,wordnet_easy_hypernym,foal,hog,kitten,puppy,young,0.3855,7,16
yellow,wordnet_easy_hypernym,bloodhound,husky,poodle,terrier,domestic animal,0.4850,7,15
yellow,wordnet_easy_hypernym,breakfast,dinner,luncheon,tea,meal,0.4753,6,16
yellow,wordnet_easy_hypernym,colon,heart,kidney,lung,internal organ,0.4564,6,11
yellow,wordnet_easy_hypernym,diagnostician,physician,specialist,surgeon,medical practitioner,0.3834,7,20
yellow,wordnet_easy_hypernym,grain,kernel,legume,peanut,fruit,0.3516,8,49
yellow,wordnet_easy_hypernym,celery,marrow,potato,sorrel,vegetable,0.3589,6,26
yellow,wordnet_easy_hypernym,castle,cottage,mansion,residence,dwelling,0.4945,7,16
yellow,wordnet_easy_hypernym,mole,mustard,sauce,vinegar,condiment,0.3510,8,14
yellow,wordnet_easy_hypernym,headmaster,prof,schoolmaster,tutor,educator,0.3722,6,19
yellow,wordnet_easy_hypernym,deacon,dean,rector,vicar,clergyman,0.4892,6,26
yellow,wordnet_easy_hypernym,avocado,coconut,corn,lemon,fruit,0.4124,8,49
yellow,wordnet_easy_hypernym,archbishop,churchman,king,vicar,clergyman,0.3954,6,26
yellow,wordnet_easy_hypernym,dentist,diagnostician,doctor,orthodontist,health professional,0.4952,6,25
yellow,wordnet_easy_hypernym,avocado,fig,grape,pineapple,edible fruit,0.5010,6,22
