category,mechanism,word1,word2,word3,word4,answer,llm_label,llm_score,llm_reason
purple,verb_noun_association,technique,concept,method,approach,refine,,,
purple,verb_noun_association,villain,character,storyline,hero,portray,,,
purple,verb_noun_association,frost,cold,snow,winter,freeze,,,
purple,anagram,astir,sitar,stair,tarsi,anagram,,,
purple,compound_suffix,gate,rail,road,run,way,,,
purple,compound_prefix,light,rise,set,shine,sun,,,
purple,anagram,aril,lari,liar,lira,anagram,,,
purple,anagram,caret,carte,crate,recta,anagram,,,
purple,compound_suffix,round,school,store,tea,house,,,
purple,compound_prefix,craft,mail,port,strip,air,,,
purple,compound_suffix,door,hall,park,stair,way,,,
purple,compound_suffix,hall,hatch,run,stair,way,,,
purple,compound_prefix,arm,cast,finger,sight,fore,,,
purple,compound_suffix,draw,horse,line,paper,back,,,
purple,verb_noun_association,affection,devotion,friendship,love,cherish,,,
purple,anagram,lair,lari,lira,rail,anagram,,,
purple,compound_prefix,pour,right,town,wind,down,,,
purple,compound_suffix,door,path,stair,water,way,,,
purple,anagram,alert,alter,artel,later,anagram,,,
purple,compound_prefix,craft,plane,port,strip,air,,,
purple,verb_noun_association,syllable,vowel,consonant,alphabet,pronounce,,,
purple,compound_prefix,cast,finger,head,runner,fore,,,
purple,compound_suffix,pit,rain,snow,water,fall,,,
purple,compound_suffix,club,court,school,tea,house,,,
purple,anagram,resin,rinse,risen,serin,anagram,,,
purple,compound_suffix,bed,meal,peace,summer,time,,,
purple,compound_prefix,down,light,set,shade,sun,,,
purple,compound_suffix,come,draw,half,set,back,,,
purple,verb_noun_association,thirst,curiosity,appetite,desire,satisfy,,,
purple,anagram,east,eats,sate,seta,anagram,,,
purple,verb_noun_association,schooner,vessel,voyage,sailing,shipwreck,,,
purple,verb_noun_association,garbage,rubbish,trash,waste,dump,,,
purple,verb_noun_association,lion,beast,tiger,creature,roar,,,
purple,verb_noun_association,juice,nectar,milk,honey,suck,,,
purple,compound_suffix,door,fair,half,high,way,,,
purple,compound_suffix,draw,feed,line,set,back,,,
purple,compound_prefix,finger,head,runner,sight,fore,,,
purple,compound_suffix,along,country,curb,way,side,,,
purple,compound_suffix,half,park,road,water,way,,,
purple,anagram,caret,carte,cater,recta,anagram,,,
purple,anagram,aril,lair,lari,liar,anagram,,,
purple,anagram,enlist,listen,silent,tinsel,anagram,,,
purple,compound_suffix,cup,dash,floor,spring,board,,,
purple,compound_suffix,drive,half,mid,run,way,,,
purple,compound_suffix,back,battle,fore,play,ground,,,
purple,verb_noun_association,expressway,freeway,parkway,highway,connect,,,
purple,compound_suffix,air,free,high,road,way,,,
purple,compound_suffix,day,dinner,mean,night,time,,,
purple,compound_prefix,cast,right,turn,wind,down,,,
purple,verb_noun_association,statute,legislation,law,amendment,enforce,,,
purple,compound_suffix,bed,dinner,mean,spring,time,,,
purple,compound_prefix,borne,craft,plane,strip,air,,,
purple,compound_suffix,door,hall,hatch,road,way,,,
purple,compound_prefix,line,mail,port,way,air,,,
purple,anagram,lair,liar,lira,rial,anagram,,,
purple,compound_prefix,craft,line,port,strip,air,,,
purple,verb_noun_association,thigh,knee,elbow,ankle,bruise,,,
purple,compound_suffix,air,gate,hall,sub,way,,,
purple,anagram,carte,crate,react,trace,anagram,,,
purple,compound_prefix,cast,pour,right,town,down,,,
purple,anagram,inert,inter,niter,trine,anagram,,,
purple,anagram,caret,crate,recta,trace,anagram,,,
purple,compound_prefix,cast,hill,pour,stream,down,,,
purple,verb_noun_association,legislation,repeal,amendment,reform,enact,,,
purple,verb_noun_association,visa,passport,permit,license,require,,,
purple,compound_suffix,drive,half,hatch,mid,way,,,
purple,compound_suffix,beach,bridge,red,war,head,,,
purple,anagram,escarp,parsec,scrape,secpar,anagram,,,
purple,compound_prefix,pour,right,stream,wind,down,,,
purple,compound_suffix,broad,dock,hill,sea,side,,,
purple,anagram,carte,cater,react,recta,anagram,,,
purple,compound_suffix,bed,mean,peace,spring,time,,,
purple,verb_noun_association,pedal,accelerator,brake,steering,throttle,,,
purple,verb_noun_association,joke,parody,funny,humor,gag,,,
purple,compound_prefix,cast,right,stream,wind,down,,,
purple,verb_noun_association,irrigation,reservoir,water,dam,supply,,,
purple,anagram,part,prat,rapt,trap,anagram,,,
purple,compound_prefix,cast,hill,town,wind,down,,,
purple,anagram,aril,lari,lira,rial,anagram,,,
purple,compound_prefix,light,rise,set,shade,sun,,,
purple,verb_noun_association,firearm,ammunition,weapon,gun,carry,,,
purple,verb_noun_association,drywall,stucco,flooring,tile,plaster,,,
purple,anagram,glare,lager,large,regal,anagram,,,
purple,compound_prefix,burn,light,rise,shine,sun,,,
purple,compound_prefix,cast,finger,ground,head,fore,,,
purple,compound_suffix,drive,free,gate,rail,way,,,
purple,compound_prefix,borne,field,port,way,air,,,
purple,anagram,part,rapt,tarp,trap,anagram,,,
purple,anagram,least,stale,steal,stela,anagram,,,
purple,verb_noun_association,yacht,boat,vessel,ship,sail,,,
purple,compound_suffix,air,gate,hatch,park,way,,,
purple,anagram,aril,lair,lari,rial,anagram,,,
purple,verb_noun_association,orbit,rocket,spacecraft,missile,launch,,,
purple,compound_prefix,cast,head,see,sight,fore,,,
purple,anagram,lair,liar,rail,rial,anagram,,,
purple,anagram,arches,chaser,eschar,search,anagram,,,
purple,compound_suffix,free,hall,mid,park,way,,,
purple,compound_prefix,fall,pour,right,wind,down,,,
purple,verb_noun_association,misconception,myth,notion,stereotype,dispel,,,
purple,compound_suffix,high,park,road,sub,way,,,
purple,anagram,aril,lair,lari,lira,anagram,,,
purple,verb_noun_association,reelection,incumbent,nomination,candidate,bid,,,
purple,verb_noun_association,assertion,hypothesis,theory,argument,corroborate,,,
purple,compound_suffix,bed,day,mean,spring,time,,,
purple,verb_noun_association,gallery,museum,art,sculpture,exhibit,,,
purple,anagram,danger,gander,garden,ranged,anagram,,,
purple,anagram,east,eats,sate,seat,anagram,,,
purple,verb_noun_association,sorrow,sadness,grief,mourning,weep,,,
purple,compound_suffix,door,hall,mid,stair,way,,,
purple,verb_noun_association,spouse,husband,married,wife,divorce,,,
purple,compound_suffix,club,court,green,round,house,,,
purple,verb_noun_association,patient,practitioner,nurse,physician,prescribe,,,
purple,verb_noun_association,wrist,elbow,knee,leg,straighten,,,
purple,anagram,aril,lira,rail,rial,anagram,,,
purple,compound_suffix,draw,half,paper,quarter,back,,,
purple,anagram,latrine,ratline,retinal,trenail,anagram,,,
purple,compound_suffix,grill,ground,patch,wood,work,,,
purple,anagram,allergy,gallery,largely,regally,anagram,,,
purple,verb_noun_association,revolt,rebellion,unrest,uprising,pacify,,,
purple,compound_suffix,along,country,sea,way,side,,,
purple,compound_suffix,gate,hall,hatch,high,way,,,
purple,compound_prefix,craft,field,plane,way,air,,,
purple,verb_noun_association,mineral,ore,coal,copper,exploit,,,
purple,compound_prefix,cast,pour,town,wind,down,,,
purple,anagram,crate,react,recta,trace,anagram,,,
purple,verb_noun_association,biopsy,diagnosis,tumor,patient,scan,,,
purple,compound_suffix,air,door,free,high,way,,,
purple,compound_prefix,borne,line,mail,port,air,,,
purple,compound_suffix,free,hall,run,stair,way,,,
purple,verb_noun_association,forehead,nose,skin,neck,wrinkle,,,
purple,anagram,part,prat,rapt,tarp,anagram,,,
purple,compound_suffix,break,run,show,touch,down,,,
purple,compound_prefix,fall,right,stream,town,down,,,
purple,verb_noun_association,efficiency,productivity,utilization,effectiveness,maximize,,,
purple,compound_prefix,hill,stream,turn,wind,down,,,
purple,verb_noun_association,posture,stance,attitude,approach,adopt,,,
purple,compound_prefix,cast,fall,town,wind,down,,,
purple,verb_noun_association,liberation,equality,freedom,democracy,struggle,,,
purple,compound_suffix,drive,path,run,water,way,,,
purple,anagram,filer,flier,lifer,rifle,anagram,,,
purple,verb_noun_association,legislation,amendment,provision,bill,act,,,
purple,anagram,gilder,girdle,glider,ridgel,anagram,,,
purple,compound_suffix,along,bed,hill,road,side,,,
purple,verb_noun_association,burglary,robbery,arson,theft,commit,,,
purple,anagram,ates,east,sate,seta,anagram,,,
purple,compound_suffix,drive,hatch,park,water,way,,,
purple,verb_noun_association,birdie,bogey,par,fairway,putt,,,
purple,compound_suffix,case,fire,frame,house,work,,,
purple,anagram,caret,cater,recta,trace,anagram,,,
purple,compound_suffix,broad,country,curb,dock,side,,,
purple,anagram,dale,deal,lade,lead,anagram,,,
purple,compound_suffix,bed,day,lunch,summer,time,,,
purple,compound_suffix,buck,card,cup,spring,board,,,
purple,compound_suffix,air,gate,half,sub,way,,,
purple,anagram,result,rustle,sutler,ulster,anagram,,,
purple,verb_noun_association,dirt,sand,soil,mud,dig,,,
purple,anagram,aril,liar,lira,rail,anagram,,,
purple,compound_prefix,arm,cast,finger,see,fore,,,
purple,verb_noun_association,harvest,corn,wheat,rice,reap,,,
purple,anagram,evil,live,veil,vile,anagram,,,
purple,compound_prefix,line,mail,port,strip,air,,,
purple,verb_noun_association,marrow,kidney,transplant,liver,donate,,,
purple,compound_suffix,door,fair,gate,mid,way,,,
purple,compound_prefix,craft,plane,strip,way,air,,,
purple,anagram,east,eats,seat,seta,anagram,,,
purple,verb_noun_association,commitment,faith,determination,belief,reaffirm,,,
purple,verb_noun_association,platoon,infantry,artillery,battalion,overrun,,,
purple,verb_noun_association,offspring,mating,breeding,nest,reproduce,,,
purple,verb_noun_association,cavalry,infantry,battalion,artillery,advance,,,
purple,anagram,slate,stale,steal,tales,anagram,,,
purple,compound_prefix,child,daughter,mother,son,grand,,,
purple,compound_prefix,head,runner,see,sight,fore,,,
purple,anagram,latrine,ratline,reliant,trenail,anagram,,,
purple,anagram,latrine,ratline,reliant,retinal,anagram,,,
purple,compound_prefix,finger,ground,head,sight,fore,,,
purple,compound_prefix,field,line,mail,way,air,,,
