verb,embedding_score,nouns,llm_score,tag,brief_reason,keep
butterfly,0.4703,"moth,orchid,insect,genus",0,not_action,"Butterfly is a noun, not a verb",False
buy,0.5364,"sell,price,purchase,sale",4,good,Commercial context - all related to buying,True
calm,0.5644,"demeanor,temperament,attitude,personality",3,too_abstract,Personality traits but calming connection weak,False
carpet,0.4926,"rug,upholstery,flooring,furniture",2,not_action,Carpet rarely used as verb,False
carry,0.5739,"firearm,ammunition,weapon,gun",4,good,Weapons context - all can be carried,True
carve,0.5666,"marble,wood,granite,stone",5,good,Perfect - all materials that are carved,True
cast,0.4756,"turnout,voter,ballot,vote",4,good,Voting context - cast a vote/ballot,True
chant,0.5817,"sung,hymn,melody,singing",4,good,Musical context - all vocal expressions,True
chart,0.4569,"song,album,pop,rap",4,good,Music charts context - songs chart,True
cheer,0.546,"tennis,gymnastics,basketball,athletics",4,good,Sports context - all have cheering,True
cherish,0.5308,"affection,devotion,friendship,love",5,good,Perfect - all emotions/relationships to cherish,True
choke,0.4562,"flange,throttle,valve,cylinder",3,too_abstract,Mechanical parts but choke connection unclear,False
chop,0.6699,"pork,beef,meat,chicken",5,good,Perfect - all meats that are chopped,True
chrome,0.5267,"grille,headlight,radiator,fender",2,not_action,Chrome rarely used as verb,False
circulate,0.4731,"cooling,heating,heat,cool",4,good,HVAC context - air circulates for these purposes,True
clap,0.4835,"applause,shout,chant,cheer",4,good,Audience responses - clapping fits well,True
climb,0.5153,"mountain,slope,cliff,ridge",5,good,Perfect - all geographical features to climb,True
clinch,0.5853,"title,victory,championship,win",5,good,Perfect sports context - all can be clinched,True
clog,0.4704,"dancing,tap,dancer,dance",3,wrong_sense,Dance context but clog as verb doesn't fit,False
clump,0.4899,"foliage,flowering,beech,flower",2,wrong_sense,These nouns relate to plants/trees but don't clearly suggest the action of clumping together,False
coal,0.6015,"miner,mine,mining,ore",0,not_action,"Coal is a noun, not a verb - these nouns relate to coal mining but don't form a verb clue",False
cocoon,0.6368,"larva,moth,wasp,insect",2,not_action,Cocoon as verb (to envelop/protect) is obscure; these nouns suggest the noun cocoon in insect development,False
collect,0.4655,"rent,payment,fee,pay",4,good,"These are all things you collect/gather as payments, clear connection to the verb",True
commemorate,0.5681,"plaque,monument,statue,memorial",5,good,Perfect - these are all things that commemorate people or events,True
commend,0.4904,"diligence,courage,dedication,commitment",4,good,These are all qualities you would commend someone for having,True
commit,0.6179,"burglary,robbery,arson,theft",5,good,Excellent - these are all crimes you commit,True
commute,0.5007,"transportation,transit,ferry,bus",4,good,"These relate to commuting/traveling to work, though slightly indirect",True
compete,0.5306,"athletics,tennis,sport,basketball",4,good,These are all areas where you compete,True
complain,0.459,"discomfort,fatigue,pain,feeling",3,too_broad,These are things you might complain about but connection is somewhat weak,False
compose,0.6735,"concerto,piano,orchestra,violin",4,good,"These relate to musical composition, though mix instruments and compositions",True
compound,0.502,"chloride,sodium,nitrogen,potassium",3,too_abstract,"Chemical elements that form compounds, but connection to verb is technical",False
compress,0.477,"piston,ignition,combustion,cylinder",3,too_abstract,"Engine parts where compression occurs, but connection is technical",False
conceive,0.5266,"pregnancy,child,baby,birth",4,good,These all relate to conception and childbirth,True
concentrate,0.5368,"zinc,ore,copper,mine",2,wrong_sense,These relate to mineral concentration (noun) not the verb meaning to focus,False
concert,0.7373,"pianist,soloist,violinist,piano",0,not_action,Concert is primarily a noun; these relate to concert performances,False
concur,0.4528,"judgment,verdict,opinion,ruling",3,too_abstract,"These are things you might concur with, but connection is somewhat abstract",False
congratulate,0.4992,"accomplishment,victory,triumph,achievement",4,good,These are all things you congratulate someone for,True
congregate,0.4782,"forage,feeding,breeding,feed",2,wrong_sense,These are animal behaviors but don't clearly suggest gathering together,False
connect,0.6637,"expressway,freeway,parkway,highway",4,good,These are all roads that connect places,True
conquer,0.5817,"galaxy,earth,planet,universe",3,too_broad,These are things that could be conquered but connection is quite abstract,False
consult,0.5202,"counsel,lawyer,attorney,expert",4,good,These are all people you consult for advice,True
consume,0.5041,"dietary,diet,eating,meal",4,good,These all relate to consuming food,True
contain,0.5745,"vitamin,potassium,calcium,protein",3,too_abstract,"These are nutrients that foods contain, but connection is indirect",False
contradict,0.5741,"assertion,assumption,notion,belief",4,good,These are all things you can contradict,True
convey,0.5066,"impression,sense,feeling,feel",4,good,These are all things you can convey to others,True
convince,0.4643,"let,telling,give,tell",2,too_broad,These verbs are too general and don't clearly relate to convincing,False
cook,0.4747,"meal,dish,kitchen,dinner",4,good,These all relate to cooking food,True
cop,0.4565,"detective,police,crime,murder",1,not_action,Cop as verb (to catch/steal) is obscure; these nouns suggest cop as noun (police officer),False
corral,0.5391,"ranch,herd,cattle,livestock",4,good,These relate to corralling animals on a ranch,True
corroborate,0.5487,"assertion,hypothesis,theory,argument",4,good,These are all things you can corroborate with evidence,True
count,0.4748,"nobleman,nobility,castle,prince",1,wrong_sense,These relate to count as noun (nobleman) not the verb to count,False
counterpoint,0.6236,"melody,sonata,violin,piano",2,not_action,Counterpoint is primarily a musical noun; these relate to music but not the verb,False
crash,0.5777,"flight,plane,aircraft,aviation",4,good,These all relate to things that can crash in aviation,True
crawl,0.5801,"swimmer,swimming,swim,pool",4,good,These relate to the crawl swimming stroke,True
cream,0.5924,"dessert,chocolate,pastry,cake",2,wrong_sense,These contain cream but don't suggest the verb to cream (beat/defeat),False
crush,0.589,"rebellion,revolt,uprising,rebel",4,good,These are all things that can be crushed (defeated),True
cultivate,0.6449,"sorghum,wheat,barley,corn",5,good,Perfect - these are all crops you cultivate,True
cure,0.6126,"tuberculosis,disease,virus,infection",5,good,Excellent - these are all things you cure medically,True
damp,0.5671,"drier,moisture,wet,dry",2,not_action,Damp is primarily an adjective; these relate to dampness but not the verb,False
debate,0.4605,"discussion,topic,forum,issue",3,too_broad,These are debate-related concepts but don't clearly indicate the action of debating,False
decorate,0.4847,"facade,exterior,interior,dome",3,too_broad,Architectural elements that can be decorated but connection is not strong,False
delegate,0.4903,"elector,nomination,nominee,candidate",2,wrong_sense,"These are political roles, not things you delegate to someone",False
demonstrate,0.5023,"proficiency,mastery,competence,skill",4,good,Clear connection - these are things you demonstrate,True
denounce,0.5164,"injustice,oppression,slavery,persecution",4,good,Strong connection - these are things commonly denounced,True
deprive,0.4821,"liberty,sovereignty,constitutional,sovereign",3,too_abstract,"Abstract political concepts, connection to depriving is weak",False
derive,0.5029,"meaning,verb,word,noun",4,good,Clear linguistic connection - you derive meaning from words,True
destroy,0.5098,"humanity,planet,earth,universe",4,good,Clear connection - these are things that can be destroyed,True
dice,0.4669,"roulette,gambling,poker,bet",3,too_broad,Gambling activities but dice is too specific for this broad category,False
dig,0.4755,"dirt,sand,soil,mud",5,good,Perfect connection - these are materials you dig through,True
dip,0.5294,"sauce,garlic,onion,cheese",3,too_broad,"Food ingredients, but dip connection is not clear enough",False
disapprove,0.4994,"relationship,romance,marriage,friendship",3,too_broad,Relationship types but connection to disapproving is weak,False
disarm,0.4514,"warhead,detonation,bomb,explosive",4,good,Clear connection - these are weapons/explosives you disarm,True
discern,0.4572,"divine,evil,spiritual,god",3,too_abstract,"Abstract spiritual concepts, connection to discerning is weak",False
discharge,0.6458,"effluent,wastewater,sewage,drainage",5,good,Perfect connection - these are all things that are discharged,True
discourage,0.4633,"smoking,drinking,tobacco,alcohol",4,good,Clear connection - these are commonly discouraged behaviors/substances,True
dispel,0.5768,"misconception,myth,notion,stereotype",5,good,Perfect connection - these are things you dispel,True
dispense,0.4906,"prescription,medication,pharmacy,pharmaceutical",4,good,Clear medical connection - these relate to dispensing medication,True
dispose,0.5671,"waste,garbage,trash,sewage",5,good,Perfect connection - these are things you dispose of,True
disprove,0.6115,"hypothesis,myth,theory,notion",5,good,Perfect connection - these are things you can disprove,True
disrupt,0.4791,"membrane,protein,cell,tissue",4,good,Biological structures that can be disrupted,True
dissolve,0.454,"sodium,chloride,acid,calcium",4,good,Chemical substances that dissolve,True
divorce,0.5784,"spouse,husband,married,wife",4,good,Clear connection to marriage relationships and divorce,True
donate,0.5756,"marrow,kidney,transplant,liver",4,good,Clear connection - these are organs/tissues you can donate,True
dress,0.5553,"attire,wear,clothing,clothes",4,good,Clear connection - these are clothing-related terms,True
drive,0.566,"axle,car,truck,vehicle",4,good,Clear automotive connection - these relate to driving,True
drizzle,0.6145,"downpour,rain,rainfall,snow",4,good,Clear weather connection - types of precipitation,True
dump,0.6506,"garbage,rubbish,trash,waste",5,good,Perfect connection - these are things you dump,True
dwell,0.4886,"heaven,god,hell,divine",3,too_abstract,"Abstract spiritual concepts, connection to dwelling is weak",False
eat,0.6895,"meal,lunch,breakfast,dinner",5,good,Perfect connection - these are meals you eat,True
eclipse,0.676,"filly,jockey,colt,horse",2,wrong_sense,Horse racing terms don't connect to astronomical eclipse,False
enact,0.5591,"legislation,repeal,amendment,reform",4,good,Clear legislative connection - these are things you enact,True
encourage,0.4555,"participation,cooperation,interaction,involvement",4,good,Clear connection - these are behaviors you encourage,True
enforce,0.5542,"statute,legislation,law,amendment",4,good,Clear legal connection - these are things you enforce,True
engage,0.5656,"conversation,dialogue,discussion,debate",4,good,Clear connection - these are communicative activities you engage in,True
enhance,0.454,"understanding,learning,experience,knowledge",4,good,Clear connection - these are things you can enhance,True
enlist,0.6246,"army,regiment,battalion,infantry",4,good,Clear military connection - these are military units you enlist in,True
enrich,0.4849,"curriculum,classroom,academic,learning",4,good,Clear educational connection - these are things you can enrich,True
enroll,0.5709,"semester,undergraduate,college,student",4,good,Clear educational connection - these relate to enrollment,True
enslave,0.5676,"mankind,humanity,earth,planet",3,too_broad,"Very broad concepts, connection to enslaving is abstract",False
excise,0.531,"whiskey,liquor,alcohol,beer",2,wrong_sense,"These are alcoholic beverages, but excise means to cut out/remove, not tax",False
excite,0.551,"fluorescence,electron,spectroscopy,molecule",4,good,Scientific terms that can be excited (energized) in physics/chemistry,True
exemplify,0.4937,"commitment,dedication,courage,determination",4,good,Abstract virtues that can be exemplified or demonstrated,True
exhaust,0.5727,"nozzle,valve,piston,cylinder",3,wrong_sense,"Engine parts related to exhaust system, but verb means to tire out",False
exhibit,0.5175,"gallery,museum,art,sculpture",5,good,Perfect connection - all places/things that exhibit art,True
exonerate,0.4957,"manslaughter,murder,rape,crime",4,good,Serious crimes one can be exonerated from,True
explode,0.5854,"detonation,explosion,bomb,blast",2,too_direct,Too direct - explosion is literally the noun form of explode,False
exploit,0.4705,"mineral,ore,coal,copper",4,good,Natural resources that can be exploited/extracted,True
export,0.5691,"wheat,crop,cotton,grain",5,good,Agricultural products commonly exported,True
express,0.6147,"train,locomotive,rail,railway",3,wrong_sense,Railway terms but express as verb means to communicate,False
exterminate,0.5778,"humanity,mankind,planet,civilization",1,sensitive,Extremely dark/sensitive content about genocide,False
facilitate,0.4975,"cooperation,interaction,dialogue,collaboration",5,good,Perfect - all things that can be facilitated,True
farm,0.6297,"dairy,livestock,cattle,sheep",5,good,Animals and products that are farmed,True
fear,0.5252,"loathing,anxiety,anger,hatred",3,too_broad,Negative emotions but not all are fears,False
feel,0.5671,"like,think,want,know",2,too_broad,"Too broad - mental states/verbs, not specific to feeling",False
fiddle,0.7455,"guitar,violin,saxophone,piano",3,wrong_sense,"Musical instruments but fiddle means to tinker, not play music",False
filter,0.4839,"frequency,modulation,wavelength,amplitude",4,good,Signal processing terms that can be filtered,True
finger,0.4993,"thumb,toe,wrist,tendon",2,wrong_sense,Body parts but finger as verb means to touch/identify,False
flex,0.4642,"elbow,thumb,boot,knee",3,good,"Body parts that can flex, though boot is odd",False
fling,0.5124,"affair,romance,relationship,friendship",3,wrong_sense,Romantic relationships but fling as verb means to throw,False
flour,0.5501,"dough,butter,bread,pastry",2,not_action,"Flour is primarily a noun, not a common verb",False
fly,0.7559,"airplane,aircraft,plane,jet",5,good,Perfect - all things that fly,True
forecast,0.5223,"weather,storm,rain,rainfall",5,good,Weather phenomena that are forecasted,True
foresee,0.519,"possibility,danger,risk,threat",4,good,Future events/outcomes that can be foreseen,True
formalize,0.5706,"notion,reasoning,logic,theory",4,good,Abstract concepts that can be formalized,True
formulate,0.5638,"hypothesis,theory,theorem,notion",5,good,Perfect - all things that are formulated,True
fort,0.5257,"garrison,infantry,battalion,colonel",1,not_action,"Fort is primarily a noun, not a verb",False
founder,0.472,"chairman,director,editor,president",2,wrong_sense,Leadership roles but founder as verb means to fail/sink,False
fracture,0.7148,"forearm,ankle,wrist,elbow",5,good,Perfect - body parts that can be fractured,True
freeze,0.4727,"frost,cold,snow,winter",3,too_broad,Cold weather terms but not all can freeze,False
fuel,0.4909,"gallon,gasoline,pump,oil",3,wrong_sense,Fuel-related items but fuel as verb means to power/energize,False
fulfill,0.4792,"ambition,commitment,desire,vision",5,good,Perfect - all things that can be fulfilled,True
fume,0.466,"silica,zinc,oxide,silicon",2,wrong_sense,Chemical compounds but fume means to be angry,False
fund,0.5246,"investor,equity,investment,asset",4,good,Financial terms related to funding,True
gag,0.5312,"joke,parody,funny,humor",3,wrong_sense,Comedy terms but gag as verb means to choke/silence,False
gallop,0.568,"jockey,horse,colt,rider",4,good,"Horse-related terms, horses gallop",True
gauge,0.6342,"locomotive,railway,rail,railroad",3,wrong_sense,Railway terms but gauge as verb means to measure,False
generalize,0.4778,"scalar,theorem,integer,polynomial",3,too_abstract,Mathematical concepts that can be generalized but very abstract,False
glaze,0.5373,"bisque,porcelain,pottery,ceramic",5,good,Perfect - ceramic items that are glazed,True
glorify,0.4918,"god,heaven,divine,holy",4,good,Religious concepts that are glorified,True
glue,0.5186,"adhesive,epoxy,varnish,resin",2,wrong_sense,"These are materials/substances, not things you glue together",False
graduate,0.6311,"undergraduate,student,faculty,university",3,too_broad,Academic context but doesn't clearly point to the action of graduating,False
graph,0.4598,"vertex,polynomial,invariant,integer",2,too_abstract,Mathematical concepts too abstract for general puzzle audience,False
grass,0.4871,"forage,grazing,hay,vegetation",1,not_action,"Grass is a noun, not an action verb",False
grate,0.6034,"boiler,heater,furnace,stove",2,wrong_sense,These have grates but aren't things you grate,False
gravel,0.5153,"sand,asphalt,dirt,mud",1,not_action,"Gravel is a noun, not an action verb",False
greet,0.488,"hug,hello,kiss,smile",4,good,Clear ways to greet someone,True
grind,0.6045,"flour,corn,grain,wheat",4,good,Things commonly ground into flour or meal,True
grow,0.5789,"corn,wheat,crop,cotton",5,good,Perfect - things farmers grow,True
guess,0.5767,"sort,know,think,kind",2,too_abstract,"Vague mental concepts, unclear connection to guessing",False
hail,0.503,"rain,snow,storm,flooding",2,wrong_sense,"Weather phenomena, not things you hail (call/summon)",False
handle,0.4789,"cargo,terminal,freight,passenger",3,too_broad,Transportation context but connection to handling is weak,False
harness,0.4629,"racetrack,racing,saddle,horse",3,too_broad,Horse racing context but doesn't clearly point to harnessing,False
hasten,0.4964,"downfall,demise,departure,collapse",3,too_abstract,Abstract concepts that can be hastened but unclear,False
hatch,0.451,"brood,feed,feeding,fed",2,wrong_sense,Bird care activities but not specifically about hatching,False
heal,0.4984,"sickness,illness,infection,injury",4,good,Things that need healing,True
hear,0.5356,"say,feel,tell,think",2,too_abstract,"Mental/communication verbs, weak connection to hearing",False
hit,0.4827,"inning,homer,pitcher,pitch",4,good,Baseball terms related to hitting,True
hop,0.4796,"rap,artist,musician,music",2,wrong_sense,"Hip-hop music context, not the action of hopping",False
hover,0.4859,"takeoff,fly,flight,jet",3,too_broad,Aviation context but doesn't specifically indicate hovering,False
howl,0.5237,"wail,roar,scream,cry",5,good,Perfect - different types of vocal expressions/sounds,True
hue,0.555,"magenta,purple,crimson,yellow",1,not_action,"Hue is a noun (colors), not an action verb",False
hunger,0.5421,"malnutrition,starvation,famine,poverty",1,not_action,"Hunger is typically a noun, not an action verb",False
hymn,0.517,"sung,melody,verse,poem",1,not_action,"Hymn is a noun, not an action verb",False
impart,0.5479,"aroma,flavor,taste,texture",4,good,Sensory qualities that can be imparted,True
impose,0.5442,"sentence,penalty,punishment,imprisonment",5,good,Perfect - legal penalties that are imposed,True
improvise,0.6179,"cadenza,melody,violin,piano",3,too_abstract,Musical context but cadenza is obscure for general audience,False
indulge,0.4964,"passion,lust,fascination,desire",4,good,Emotions/desires one can indulge in,True
inherit,0.7266,"uncle,grandfather,aunt,cousin",4,good,Family members you inherit from,True
inhibit,0.57,"protease,secretion,enzyme,metabolism",2,too_abstract,Biological processes too technical for general puzzle,False
ink,0.5736,"toner,printer,printing,print",2,wrong_sense,"Printing supplies, not things you ink",False
institute,0.5496,"biology,economics,science,mathematics",2,wrong_sense,"Academic subjects, not things you institute",False
intern,0.5294,"hospital,surgeon,physician,medical",3,too_broad,Medical context but doesn't clearly point to interning,False
invalidate,0.5312,"statute,provision,legislation,amendment",4,good,Legal documents that can be invalidated,True
invite,0.5835,"dinner,feast,meal,lunch",5,good,Perfect - events you invite people to,True
invoke,0.6137,"deity,divine,goddess,god",4,good,Divine beings commonly invoked,True
isolate,0.5006,"bacteria,organism,protein,tissue",4,good,Biological specimens that are isolated in labs,True
jam,0.7417,"drummer,vocalist,guitarist,band",5,good,Perfect - musicians who jam together,True
jaw,0.5225,"teeth,tooth,bone,skull",1,not_action,"Jaw is a noun, not an action verb",False
jockey,0.59,"filly,colt,horse,stud",3,too_broad,Horse types but connection to jockeying is indirect,False
journey,0.4953,"voyage,trip,adventure,expedition",2,not_action,"These are all nouns for types of journeys, not things you journey to/through",False
judge,0.5141,"court,magistrate,prosecutor,attorney",3,too_broad,Legal professionals/settings but doesn't clearly indicate the act of judging,False
know,0.5384,"think,want,going,feel",2,too_abstract,Mental states but connection to 'know' is unclear and abstract,False
knuckle,0.5036,"fingertip,finger,thumb,elbow",2,not_action,"Body parts, but knuckle as verb (knuckle down/under) not clearly indicated",False
label,0.5274,"punk,jazz,band,music",4,good,Music genres/terms that you would label or categorize,True
lace,0.5798,"satin,linen,silk,velvet",3,too_broad,"Fabrics, but lacing connection is not clear",False
laminate,0.59,"epoxy,resin,adhesive,polymer",4,good,Materials used in laminating processes,True
lard,0.5462,"pork,pig,beef,hog",3,too_broad,Meat/animal terms but larding as cooking technique not clearly indicated,False
launch,0.5355,"orbit,rocket,spacecraft,missile",5,good,Things that are launched into space/air,True
lean,0.495,"pork,beef,fat,meat",3,wrong_sense,"Meat types, but lean as adjective not verb",False
lease,0.5455,"rent,tenant,landlord,rental",4,good,Rental/leasing related terms,True
lengthen,0.4611,"tendon,limb,muscle,bone",3,too_broad,Body parts but lengthening connection is weak,False
lessen,0.5273,"likelihood,risk,danger,threat",4,good,Things you would want to lessen or reduce,True
let,0.5032,"know,lie,tell,say",3,too_abstract,Communication verbs but 'let' connection is unclear,False
listen,0.5395,"think,say,tell,telling",2,wrong_sense,"Speaking/thinking verbs, opposite of listening",False
loom,0.5442,"cloth,fabric,embroidery,silk",4,good,Textile materials made on looms,True
lunch,0.5782,"dinner,breakfast,meal,snack",2,not_action,"Meal types, but lunch as verb (to lunch) is weak",False
manufacture,0.5043,"cloth,leather,silk,cotton",4,good,Materials that are manufactured,True
marry,0.7546,"niece,cousin,daughter,aunt",1,sensitive,"Family relations, inappropriate marriage implications",False
marshal,0.5348,"commander,officer,chief,deputy",3,too_broad,Authority figures but marshaling as action unclear,False
marvel,0.4787,"comic,storyline,villain,character",2,too_direct,"Marvel Comics references, too direct",False
massage,0.4558,"therapist,therapy,therapeutic,stimulation",4,good,Massage therapy related terms,True
mature,0.4645,"fruit,tree,leaf,flower",4,good,Plant parts that mature/ripen,True
maximize,0.4508,"efficiency,productivity,utilization,effectiveness",5,good,Business metrics you want to maximize,True
melt,0.5794,"viscosity,polymer,adhesive,coating",3,too_abstract,Material properties but melting connection unclear,False
mist,0.5261,"fog,rain,snow,wet",2,not_action,"Weather phenomena, mist as verb is weak",False
mix,0.48,"pop,rap,punk,rock",4,good,Music genres that DJs mix,True
mourn,0.5224,"grief,sadness,tragedy,joy",3,too_broad,"Emotions, but joy doesn't fit mourning",False
multiply,0.4802,"integer,decimal,scalar,polynomial",4,good,Mathematical terms you can multiply,True
murder,0.5602,"parole,conviction,imprisonment,sentence",3,sensitive,Legal consequences but murder is sensitive topic,False
negotiate,0.5413,"agreement,lease,deal,contract",5,good,Legal documents you negotiate,True
nurse,0.6345,"practitioner,physician,surgeon,doctor",2,not_action,"Medical professionals, nurse as verb unclear",False
nurture,0.4877,"creativity,innovation,excellence,passion",4,good,Qualities/traits you nurture and develop,True
obtain,0.5386,"permit,permission,consent,approval",5,good,Official authorizations you obtain,True
offend,0.568,"decency,morality,conscience,moral",4,good,Values/principles you can offend against,True
operate,0.4976,"bus,ferry,rail,transit",4,good,Transportation systems you operate,True
oppose,0.6623,"legislation,amendment,bill,proposal",5,good,Political measures you can oppose,True
ordain,0.6975,"clergy,priest,bishop,archbishop",4,good,Religious positions that are ordained,True
oust,0.4719,"dictator,junta,coup,regime",4,good,Political entities that get ousted,True
outnumber,0.4526,"men,male,female,adult",3,too_broad,Demographic groups but outnumbering relationship unclear,False
overhang,0.4715,"porch,balcony,chimney,roof",3,too_broad,architectural features that can overhang but connection is weak,False
overload,0.4746,"hypertrophy,ventricle,edema,liver",2,wrong_sense,medical terms don't clearly connect to overload as action,False
overrun,0.5813,"platoon,infantry,artillery,battalion",3,too_broad,military units but overrun connection unclear,False
pacify,0.6756,"revolt,rebellion,unrest,uprising",5,good,clear set of disturbances that need pacifying,True
paint,0.5019,"varnish,acrylic,pigment,coating",4,good,painting materials and substances,True
pass,0.4717,"touchdown,receiver,quarterback,offense",4,good,football terms related to passing,True
pay,0.4791,"compensation,salary,wage,pension",5,good,clear forms of payment,True
pelt,0.4735,"beaver,wolf,tiger,lion",4,good,animals whose pelts are known,True
perish,0.5276,"everlasting,heaven,god,divine",2,wrong_sense,eternal concepts opposite of perishing,False
