category,mechanism,word1,word2,word3,word4,answer
blue,wordnet_direct_hypernym,gyro,wedge,western,wrap,sandwich
blue,wordnet_direct_hypernym,buffer,disk,register,stack,memory device
blue,wordnet_direct_hypernym,beet,carrot,potato,radish,root vegetable
blue,wordnet_direct_hypernym,picket,tank,technical,warship,military vehicle
blue,wordnet_direct_hypernym,copper,fuzz,pig,trooper,policeman
blue,wordnet_direct_hypernym,high,reverse,third,transmission,gear
blue,wordnet_direct_hypernym,bandstand,pad,rostrum,top,platform
blue,wordnet_direct_hypernym,junk,packet,tender,tower,boat
blue,wordnet_direct_hypernym,chapel,church,shrine,temple,place of worship
blue,wordnet_direct_hypernym,detector,mixer,monitor,telephone,electronic equipment
blue,wordnet_direct_hypernym,captain,master,mate,navigator,officer
blue,wordnet_direct_hypernym,expressway,freeway,highroad,interstate,highway
blue,wordnet_direct_hypernym,blaze,patch,shading,streak,marking
blue,wordnet_direct_hypernym,beef,bull,cow,steer,cattle
blue,wordnet_direct_hypernym,eyebrow,lash,lock,pile,hair
blue,wordnet_direct_hypernym,bench,chair,couch,stool,seat
blue,wordnet_direct_hypernym,detector,monitor,peripheral,scope,electronic equipment
blue,wordnet_direct_hypernym,disguise,habit,outfit,turnout,attire
blue,wordnet_direct_hypernym,number,pictorial,review,serial,periodical
blue,wordnet_direct_hypernym,chamfer,curbing,milling,rim,edge
blue,wordnet_direct_hypernym,barrel,drain,hose,stem,tube
blue,wordnet_direct_hypernym,booth,dresser,stand,vanity,table
blue,wordnet_direct_hypernym,atmosphere,downfall,warming,wind,weather
blue,wordnet_direct_hypernym,burner,generator,still,telegraph,apparatus
blue,wordnet_direct_hypernym,mosaic,print,shot,stereo,photograph
blue,wordnet_direct_hypernym,glow,irradiation,moon,shaft,light
blue,wordnet_direct_hypernym,alto,bass,tenor,voice,singer
blue,wordnet_direct_hypernym,adrenal,epiphysis,prostate,thyroid,endocrine gland
blue,wordnet_direct_hypernym,bead,clip,earring,gem,jewelry
blue,wordnet_direct_hypernym,bootlegger,fugitive,gangster,racketeer,criminal
blue,wordnet_direct_hypernym,captain,mate,skipper,steward,officer
blue,wordnet_direct_hypernym,dock,landing,pulpit,top,platform
blue,wordnet_direct_hypernym,butt,discus,mat,saucer,sports equipment
blue,wordnet_direct_hypernym,booth,counter,desk,stand,table
blue,wordnet_direct_hypernym,hulk,pirate,tender,wreck,ship
blue,wordnet_direct_hypernym,envelope,sack,saddlebag,skin,bag
blue,wordnet_direct_hypernym,gastrocnemius,lat,pecs,serratus,skeletal muscle
blue,wordnet_direct_hypernym,disc,recording,register,storage,memory device
blue,wordnet_direct_hypernym,bus,hack,jeep,saloon,car
blue,wordnet_direct_hypernym,fireman,gypsy,miner,porter,laborer
blue,wordnet_direct_hypernym,cotton,metallic,nap,worsted,thread
blue,wordnet_direct_hypernym,apron,pavement,paving,runway,paved surface
blue,wordnet_direct_hypernym,deck,landing,ring,scaffold,platform
blue,wordnet_direct_hypernym,mat,saucer,stick,weight,sports equipment
