category,mechanism,word1,word2,word3,word4,answer,label,llm_label,llm_score,llm_reason
purple,verb_noun_association,tumor,kidney,infection,disease,recur,0,reject,2,Medical conditions don't strongly suggest 'recur' as the primary verb - 'treat' or 'diagnose' would be more natural.
purple,compound_prefix,cast,hill,pour,right,down,1,keep,4,"Forms natural compounds: downcast, downhill, downpour, downright."
purple,compound_suffix,base,eye,high,snow,ball,1,keep,5,"Excellent compounds: baseball, eyeball, highball, snowball."
purple,compound_suffix,field,fire,net,patch,work,1,keep,4,"Good compounds: fieldwork, firework, network, patchwork."
purple,verb_noun_association,creativity,innovation,excellence,passion,nurture,0,reject,2,"Abstract concepts don't strongly suggest 'nurture' - could be 'foster', 'develop', or 'cultivate'."
purple,compound_prefix,cast,ground,runner,see,fore,1,keep,4,"Forms natural compounds: forecast, foreground, forerunner, foresee."
purple,anagram,aril,lair,lari,rail,anagram,0,reject,2,Contains 'lari' which is obscure (Georgian currency unit).
purple,anagram,aril,lari,rail,rial,anagram,0,reject,2,Contains 'lari' which is obscure (Georgian currency unit).
purple,compound_suffix,air,high,run,water,way,1,keep,4,"Good compounds: airway, highway, runway, waterway."
purple,verb_noun_association,parade,tribute,celebration,ceremony,salute,1,keep,4,Events that naturally suggest 'salute' as the associated action.
purple,compound_prefix,cast,pour,right,stream,down,1,keep,4,"Forms natural compounds: downcast, downpour, downright, downstream."
purple,compound_suffix,dinner,lunch,spring,war,time,1,keep,4,"Good compounds: dinnertime, lunchtime, springtime, wartime."
purple,anagram,astir,sitar,stria,tarsi,anagram,0,reject,2,Contains obscure words like 'stria' and 'tarsi' - too technical/medical.
purple,verb_noun_association,meal,dish,kitchen,dinner,cook,1,keep,5,Food-related nouns clearly suggest 'cook' as the primary verb.
purple,verb_noun_association,bullet,pistol,gun,rifle,shoot,1,keep,5,Weapons clearly suggest 'shoot' as the primary associated verb.
purple,verb_noun_association,crop,wheat,harvest,grain,yield,0,reject,2,Agricultural terms suggest 'grow' or 'harvest' more strongly than 'yield'.
purple,compound_suffix,fair,half,mid,path,way,1,keep,4,"Forms natural compounds: fairway, halfway, midway, pathway."
purple,verb_noun_association,channel,cable,programming,television,broadcast,1,keep,4,Media/TV terms naturally suggest 'broadcast' as the associated verb.
purple,compound_suffix,fair,hall,road,run,way,1,keep,4,"Forms natural compounds: fairway, hallway, roadway, runway."
purple,anagram,aril,lair,lira,rail,anagram,1,keep,4,"Clean anagram set with common words: aril, lair, lira, rail."
purple,verb_noun_association,nozzle,valve,piston,cylinder,exhaust,0,reject,2,Engine parts don't clearly suggest 'exhaust' - could be 'operate' or other verbs.
purple,compound_prefix,cast,runner,see,sight,fore,1,keep,4,"Forms natural compounds: forecast, forerunner, foresee, foresight."
purple,compound_suffix,free,half,park,run,way,1,keep,4,"Good compounds: freeway, halfway, parkway, runway."
purple,anagram,luster,result,sutler,ulster,anagram,0,reject,2,Contains 'sutler' which is archaic/obscure (military provisioner).
purple,anagram,lair,lari,rail,rial,anagram,0,reject,2,Contains 'lari' which is obscure (Georgian currency unit).
purple,anagram,armed,derma,dream,ramed,anagram,0,reject,1,RAMED is not a recognizable English word - appears to be dictionary junk.
purple,verb_noun_association,probation,sentence,parole,jail,plead,0,reject,2,"These legal terms don't strongly suggest PLEAD as the primary verb - could be SERVE, IMPOSE, or others."
purple,compound_suffix,bed,peace,spring,war,time,1,keep,4,"Clean compound suffix pattern: bedtime, peacetime, springtime, wartime - all natural compounds."
purple,verb_noun_association,lineage,ancestry,descent,origin,trace,1,keep,4,"Strong verb association - lineage, ancestry, descent, origin all suggest TRACE as primary action."
purple,compound_prefix,ball,point,road,way,high,0,reject,2,HIGHBALL and HIGHPOINT are questionable compounds; mechanism doesn't work cleanly for all words.
purple,compound_suffix,bed,life,night,summer,time,1,keep,5,"Perfect compound suffix: bedtime, lifetime, nighttime, summertime - all excellent natural compounds."
purple,anagram,east,sate,seat,seta,anagram,0,reject,2,SETA is too obscure/technical (botanical term) for a fair puzzle.
purple,compound_prefix,hill,pour,right,stream,down,1,keep,4,"Good compound prefix: downhill, downpour, downright, downstream - all natural compounds."
purple,verb_noun_association,drink,bottle,wine,glass,pour,1,keep,5,"Excellent verb association - drink, bottle, wine, glass all strongly suggest POUR."
purple,compound_prefix,craft,mail,strip,way,air,1,keep,4,"Clean compound prefix: aircraft, airmail, airstrip, airway - all natural compounds."
purple,verb_noun_association,god,salvation,divine,heaven,pray,0,reject,2,"Religious/spiritual terms don't uniquely suggest PRAY - could be WORSHIP, BELIEVE, etc."
purple,anagram,aper,pear,rape,reap,anagram,0,reject,1,APER is not a recognizable English word - dictionary junk.
purple,verb_noun_association,size,length,width,diameter,vary,0,reject,2,"Measurement terms don't strongly suggest VARY - could be MEASURE, CALCULATE, etc."
purple,anagram,ates,eats,sate,seat,anagram,0,reject,2,ATES is questionable as a standalone word - feels like dictionary junk.
purple,compound_prefix,cracker,light,place,work,fire,1,keep,4,"Good compound prefix: firecracker, firelight, fireplace, firework - all natural compounds."
purple,compound_suffix,court,round,store,tea,house,1,keep,4,"Clean compound suffix: courthouse, roundhouse, storehouse, teahouse - all natural compounds."
purple,compound_prefix,fall,pour,right,town,down,1,keep,4,"Good compound prefix: downfall, downpour, downright, downtown - all natural compounds."
purple,anagram,merit,miter,mitre,remit,anagram,0,reject,2,MITER/MITRE are the same word (US/UK spelling) - violates anagram diversity.
purple,compound_suffix,air,road,run,water,way,1,keep,4,"Clean compound suffix: airway, roadway, runway, waterway - all natural compounds."
purple,anagram,leapt,petal,plate,tepal,anagram,0,reject,2,TEPAL is too obscure/technical (botanical term) for a fair puzzle.
purple,verb_noun_association,bakery,cafe,store,restaurant,shop,0,reject,2,"These are places, not actions - doesn't fit verb_noun_association mechanism well."
purple,compound_prefix,borne,craft,plane,port,air,1,keep,4,"Good compound prefix: airborne, aircraft, airplane, airport - all natural compounds."
purple,verb_noun_association,grocery,supermarket,store,pharmacy,retail,0,reject,2,RETAIL is more of a business model than a verb these nouns suggest.
purple,compound_prefix,borne,craft,field,strip,air,1,keep,4,"Clean compound prefix: airborne, aircraft, airfield, airstrip - all natural compounds."
purple,compound_prefix,arm,cast,head,runner,fore,1,keep,4,"Good compound prefix: forearm, forecast, forehead, forerunner - all natural compounds."
purple,compound_suffix,hatch,park,rail,sub,way,1,keep,4,"Forms natural compounds: hatchway, parkway, railway, subway."
purple,compound_prefix,arm,cast,finger,runner,fore,1,keep,4,"Forms natural compounds: forearm, forecast, forefinger, forerunner."
purple,compound_suffix,buck,cup,score,spring,board,1,keep,4,"Forms natural compounds: buckboard, cupboard, scoreboard, springboard."
purple,compound_prefix,fall,pour,stream,turn,down,1,keep,4,"Forms natural compounds: downfall, downpour, downstream, downturn."
purple,anagram,lari,liar,rail,rial,anagram,0,reject,2,Lari and rial are obscure currency terms; not common enough for puzzle.
purple,verb_noun_association,tendon,knee,shoulder,surgery,tear,1,keep,4,"All nouns strongly suggest 'tear' as a verb - you can tear tendons, knees, shoulders, and need surgery for tears."
purple,compound_suffix,free,hall,hatch,high,way,1,keep,4,"Forms natural compounds: freeway, hallway, hatchway, highway."
purple,anagram,aper,pare,pear,rape,anagram,0,reject,2,Aper is too obscure/archaic; rape is inappropriate for puzzle context.
purple,compound_suffix,half,mid,park,sub,way,1,keep,4,"Forms natural compounds: halfway, midway, parkway, subway."
purple,verb_noun_association,platoon,battalion,sergeant,regiment,recruit,0,reject,2,These military units don't strongly suggest 'recruit' - they suggest 'command' or 'lead' more naturally.
purple,compound_prefix,finger,head,runner,see,fore,1,keep,4,"Forms natural compounds: forefinger, forehead, forerunner, foresee."
purple,verb_noun_association,lending,debt,loan,credit,borrow,1,keep,4,All financial terms strongly suggest 'borrow' as the associated verb.
purple,verb_noun_association,curriculum,classroom,academic,learning,enrich,0,reject,2,"These educational terms don't specifically suggest 'enrich' - could be 'teach', 'study', 'improve', etc."
purple,verb_noun_association,accomplishment,victory,triumph,achievement,congratulate,1,keep,4,All success-related nouns strongly suggest 'congratulate' as the appropriate response verb.
purple,verb_noun_association,axle,brake,tire,wheel,steer,0,reject,2,"Car parts don't specifically suggest 'steer' - could be 'repair', 'replace', 'check', etc."
purple,verb_noun_association,likelihood,risk,danger,threat,lessen,0,reject,2,"These threat-related nouns don't specifically suggest 'lessen' - could be 'avoid', 'assess', 'manage', etc."
purple,verb_noun_association,pilgrimage,journey,voyage,expedition,undertake,1,keep,4,All journey-related nouns strongly suggest 'undertake' as the verb to begin them.
purple,anagram,reins,resin,serin,siren,anagram,0,reject,2,Serin is too obscure (type of bird); not common enough for puzzle.
purple,anagram,resin,rinse,risen,siren,anagram,1,keep,4,"Clean anagram set with common, recognizable words."
purple,compound_suffix,fair,gate,high,run,way,1,keep,4,"Forms natural compounds: fairway, gateway, highway, runway."
purple,verb_noun_association,lending,mortgage,debt,loan,underwrite,0,reject,2,"These financial terms don't specifically suggest 'underwrite' - could be 'approve', 'manage', 'process', etc."
purple,compound_suffix,air,hatch,high,sub,way,1,keep,4,"Forms natural compounds: airway, hatchway, highway, subway."
purple,anagram,lave,vale,veal,vela,anagram,0,reject,2,Vela is too obscure (constellation/anatomy term); not common enough for puzzle.
purple,verb_noun_association,tumor,tissue,bone,skin,remove,1,keep,4,All body parts/medical terms strongly suggest 'remove' in surgical context.
purple,anagram,abet,bate,beat,beta,anagram,1,keep,4,"Clean anagram set with common, recognizable words."
purple,anagram,rate,tare,tear,tera,anagram,1,keep,5,"Clean anagram set with common words: rate, tare, tear, tera."
purple,compound_suffix,air,gate,half,hatch,way,1,keep,4,"Good compound suffix: airway, gateway, halfway, hatchway are all natural compounds."
purple,compound_prefix,borne,craft,mail,port,air,1,keep,5,"Excellent compound prefix: airborne, aircraft, airmail, airport are all common compounds."
purple,compound_prefix,cast,fall,pour,turn,down,1,keep,4,"Good compound prefix: downcast, downfall, downpour, downturn are natural compounds."
purple,compound_prefix,right,stream,turn,wind,down,1,keep,4,"Good compound prefix: downright, downstream, downturn, downwind are natural compounds."
purple,compound_prefix,fall,right,turn,wind,down,1,keep,4,"Good compound prefix: downfall, downright, downturn, downwind are natural compounds."
purple,compound_prefix,field,mail,strip,way,air,1,keep,5,"Excellent compound prefix: airfield, airmail, airstrip, airway are all common compounds."
purple,verb_noun_association,ranch,herd,cattle,livestock,corral,0,reject,2,Verb 'corral' is too specific and not strongly suggested by all four nouns.
purple,verb_noun_association,plaque,monument,statue,memorial,commemorate,1,keep,4,"Good verb association: plaque, monument, statue, memorial all strongly suggest 'commemorate'."
purple,compound_prefix,craft,field,port,way,air,1,keep,5,"Excellent compound prefix: aircraft, airfield, airport, airway are all common compounds."
purple,compound_prefix,field,port,strip,way,air,1,keep,5,"Excellent compound prefix: airfield, airport, airstrip, airway are all common compounds."
purple,compound_prefix,cast,hill,right,town,down,1,keep,4,"Good compound prefix: downcast, downhill, downright, downtown are natural compounds."
purple,anagram,caret,cater,crate,trace,anagram,1,keep,5,"Clean anagram set with common words: caret, cater, crate, trace."
purple,verb_noun_association,drummer,vocalist,guitarist,band,jam,1,keep,4,"Good verb association: drummer, vocalist, guitarist, band all strongly suggest 'jam'."
purple,anagram,stale,steal,stela,tales,anagram,0,reject,2,"Stela is too obscure/archaic for a fair puzzle, though other words are common."
purple,compound_prefix,borne,field,line,port,air,1,keep,5,"Excellent compound prefix: airborne, airfield, airline, airport are all common compounds."
purple,verb_noun_association,prosecution,jury,trial,defendant,testify,1,keep,4,"Good verb association: prosecution, jury, trial, defendant all strongly suggest 'testify'."
purple,compound_suffix,mid,path,stair,water,way,1,keep,4,"Good compound suffix: midway, pathway, stairway, waterway are natural compounds."
purple,compound_prefix,air,day,night,week,mid,1,keep,4,"Good compound prefix: midair, midday, midnight, midweek are natural compounds."
purple,compound_prefix,burn,down,light,shade,sun,1,keep,4,"Good compound prefix: sunburn, sundown, sunlight, sunshade are natural compounds."
purple,verb_noun_association,roadway,freeway,highway,expressway,stretch,0,reject,2,Verb 'stretch' is not strongly suggested by these road-related nouns; 'travel' or 'drive' would be better.
purple,compound_prefix,ache,light,line,water,head,1,keep,4,"Good compound prefix: headache, headlight, headline, headwater are natural compounds."
purple,compound_suffix,air,border,crystal,shore,line,1,keep,4,"Good compound suffix: airline, borderline, crystalline, shoreline are natural compounds."
purple,anagram,piles,plies,spiel,spile,anagram,0,reject,2,"Spile is too obscure for a fair puzzle, though other words are common."
purple,verb_noun_association,tournament,round,playoff,championship,qualify,1,keep,4,"Good verb association: tournament, round, playoff, championship all strongly suggest 'qualify'."
purple,verb_noun_association,waste,garbage,trash,sewage,dispose,0,reject,2,The verb 'dispose' doesn't strongly connect to all nouns - sewage especially doesn't naturally suggest 'dispose' as the primary action.
purple,anagram,mate,meat,tame,team,anagram,1,keep,5,"Perfect anagram set with common, recognizable words: mate/meat/tame/team."
purple,compound_prefix,arm,ground,runner,see,fore,1,keep,4,"Clean compound prefix group: forearm, foreground, forerunner, foresee are all natural compounds."
purple,verb_noun_association,discomfort,pain,stress,anxiety,relieve,1,keep,4,Good verb association - 'relieve' naturally connects to all four types of negative experiences.
purple,compound_suffix,door,hatch,rail,run,way,1,keep,4,"Solid compound suffix group: doorway, hatchway, railway, runway are all natural compounds."
purple,verb_noun_association,diligence,courage,dedication,commitment,commend,0,reject,2,"The verb 'commend' is weak - these virtues more naturally suggest 'admire', 'praise', or 'respect'."
purple,compound_suffix,check,guide,note,sketch,book,1,keep,5,"Excellent compound suffix group: checkbook, guidebook, notebook, sketchbook are all common, natural compounds."
purple,compound_prefix,cast,finger,ground,runner,fore,1,keep,4,"Good compound prefix group: forecast, forefinger, foreground, forerunner are all natural compounds."
purple,compound_prefix,arm,finger,ground,runner,fore,1,keep,4,"Clean compound prefix group: forearm, forefinger, foreground, forerunner are all natural compounds."
purple,compound_suffix,drive,half,path,rail,way,1,keep,4,"Good compound suffix group: driveway, halfway, pathway, railway are all natural compounds."
purple,verb_noun_association,god,heaven,divine,holy,glorify,0,reject,2,The verb 'glorify' doesn't naturally connect to all words - 'divine' and 'holy' are adjectives that don't strongly suggest this action.
purple,anagram,reins,rinse,serin,siren,anagram,0,reject,2,'Serin' is too obscure (a type of finch) - most players wouldn't recognize it as a valid anagram partner.
purple,verb_noun_association,legislation,amendment,bill,proposal,oppose,0,reject,2,"The verb 'oppose' is weak - these legislative items more naturally suggest 'pass', 'enact', or 'draft'."
purple,anagram,derange,enraged,grandee,grenade,anagram,1,keep,4,"Good anagram set with recognizable words, though 'grandee' is less common but still legitimate."
purple,anagram,cater,crate,recta,trace,anagram,0,reject,2,'Recta' is too obscure/technical (anatomical term) - not suitable for a general puzzle.
purple,verb_noun_association,oppression,injustice,slavery,discrimination,perpetuate,0,reject,2,"The verb 'perpetuate' is too specific and negative - these concepts more naturally suggest 'fight', 'end', or 'oppose'."
purple,verb_noun_association,strife,unrest,turmoil,controversy,beset,0,reject,2,"The verb 'beset' is too archaic/formal - these situations more naturally suggest 'cause', 'create', or 'resolve'."
purple,compound_prefix,borne,craft,line,mail,air,1,keep,4,"Good compound prefix group: airborne, aircraft, airline, airmail are all natural compounds."
purple,compound_prefix,boy,house,master,room,school,1,keep,4,"Clean compound prefix group: schoolboy, schoolhouse, schoolmaster, schoolroom are all natural compounds."
purple,anagram,ester,reset,steer,terse,anagram,1,keep,5,"Excellent anagram set with common, recognizable words: ester/reset/steer/terse."
purple,compound_suffix,fair,hatch,mid,water,way,1,keep,4,"Good compound suffix group: fairway, hatchway, midway, waterway are all natural compounds."
purple,verb_noun_association,impasse,dispute,conflict,crisis,resolve,1,keep,5,Perfect verb association - 'resolve' naturally and strongly connects to all four types of problems.
purple,verb_noun_association,assent,consent,approval,permission,withhold,1,keep,4,Good verb association - 'withhold' naturally connects to all four types of positive responses.
purple,compound_suffix,dinner,life,night,peace,time,1,keep,4,"Good compound suffix group: dinnertime, lifetime, nighttime, peacetime are all natural compounds."
purple,compound_suffix,day,life,meal,night,time,1,keep,4,"Clean compound suffix group: daytime, lifetime, mealtime, nighttime are all natural compounds."
purple,anagram,slate,steal,stela,tales,anagram,1,keep,4,"Clean anagram set with common words: slate, steal, tales are very recognizable, stela is less common but valid."
purple,compound_prefix,craft,port,strip,way,air,1,keep,4,"Good compound prefix group: aircraft, airport, airstrip, airway are all natural compounds."
purple,anagram,dinar,drain,nadir,ranid,anagram,0,reject,2,"Weak anagram set - ranid is very obscure (relating to frogs), making this too technical for general solvers."
purple,compound_prefix,color,fall,proof,way,water,1,keep,5,"Excellent compound prefix group: watercolor, waterfall, waterproof, waterway are all common, natural compounds."
purple,verb_noun_association,pastor,congregation,clergy,church,preach,1,keep,4,"Good verb-noun association - all four nouns (pastor, congregation, clergy, church) strongly suggest the action of preaching."
purple,compound_suffix,bed,mean,night,spring,time,1,keep,4,"Good compound suffix group: bedtime, meantime, nighttime, springtime are all natural compounds."
purple,compound_prefix,field,line,mail,strip,air,1,keep,4,"Good compound prefix group: airfield, airline, airmail, airstrip are all natural compounds."
purple,compound_suffix,dinner,life,spring,war,time,1,keep,4,"Good compound suffix group: dinnertime, lifetime, springtime, wartime are all natural compounds."
purple,compound_suffix,bill,cup,peg,score,board,1,keep,4,"Good compound suffix group: billboard, cupboard, pegboard, scoreboard are all natural compounds."
purple,compound_prefix,burn,down,light,rise,sun,1,keep,5,"Excellent compound prefix group: sunburn, sundown, sunlight, sunrise are all very common, natural compounds."
purple,compound_suffix,court,green,smoke,tea,house,1,keep,4,"Good compound suffix group: courthouse, greenhouse, smokehouse, teahouse are all natural compounds."
purple,verb_noun_association,cargo,shipment,container,freight,unload,1,keep,4,"Good verb-noun association - cargo, shipment, container, freight all strongly suggest the action of unloading."
purple,compound_prefix,craft,field,mail,way,air,1,keep,4,"Good compound prefix group: aircraft, airfield, airmail, airway are all natural compounds."
purple,compound_prefix,field,mail,port,way,air,1,keep,4,"Good compound prefix group: airfield, airmail, airport, airway are all natural compounds."
purple,compound_prefix,fall,right,stream,wind,down,1,keep,4,"Good compound prefix group: downfall, downright, downstream, downwind are all natural compounds."
purple,compound_prefix,cast,finger,head,see,fore,1,keep,4,"Good compound prefix group: forecast, forefinger, forehead, foresee are all natural compounds."
purple,anagram,reins,rinse,risen,serin,anagram,0,reject,2,"Weak anagram set - serin is very obscure (a type of finch), making this too technical for general solvers."
purple,compound_suffix,fire,frame,patch,wood,work,1,keep,4,"Good compound suffix group: firework, framework, patchwork, woodwork are all natural compounds."
purple,anagram,reales,resale,reseal,sealer,anagram,0,reject,2,"Weak anagram set - reales is obscure (Spanish currency plural), making this too technical for general solvers."
purple,compound_prefix,cast,pour,turn,wind,down,1,keep,4,"Good compound prefix group: downcast, downpour, downturn, downwind are all natural compounds."
purple,anagram,lair,lari,liar,lira,anagram,0,reject,2,"Weak anagram set - lari is obscure (Georgian currency), making this too technical for general solvers."
purple,compound_suffix,birth,common,fire,market,place,1,keep,4,"Good compound suffix group: birthplace, commonplace, fireplace, marketplace are all natural compounds."
purple,anagram,aril,lair,liar,lira,anagram,0,reject,2,"Weak anagram set - aril is very obscure (seed covering), making this too technical for general solvers."
purple,compound_suffix,bed,lunch,spring,war,time,1,keep,4,"Good compound suffix group: bedtime, lunchtime, springtime, wartime are all natural compounds."
purple,compound_prefix,field,mail,port,strip,air,1,keep,5,"Perfect compound prefix group: airfield, airmail, airport, airstrip are all natural, recognizable compounds."
purple,anagram,alert,alter,later,ratel,anagram,1,keep,4,"Clean anagram set with common words, though 'ratel' (honey badger) is less familiar but still legitimate."
purple,compound_suffix,door,high,path,stair,way,1,keep,5,"Excellent compound suffix group: doorway, highway, pathway, stairway are all natural compounds."
purple,anagram,lasting,salting,slating,staling,anagram,1,keep,4,"Good anagram set with recognizable words, though 'staling' is less common but valid."
purple,compound_prefix,hill,right,town,wind,down,1,keep,5,"Strong compound prefix group: downhill, downright, downtown, downwind are all natural compounds."
purple,verb_noun_association,touchdown,receiver,quarterback,offense,pass,1,keep,5,Excellent verb-noun association: all four football terms strongly suggest 'pass' as the connecting verb.
purple,anagram,resin,rinse,serin,siren,anagram,1,keep,4,"Good anagram set, though 'serin' (type of finch) is less common but legitimate."
purple,verb_noun_association,guitar,violin,saxophone,piano,fiddle,0,reject,2,Weak verb-noun association: 'play' would be much more natural than 'fiddle' for these instruments.
purple,anagram,ates,east,eats,sate,anagram,1,keep,4,"Clean anagram set with common words, though 'ates' is less familiar but valid."
purple,compound_suffix,air,drive,hall,run,way,1,keep,5,"Perfect compound suffix group: airway, driveway, hallway, runway are all natural compounds."
purple,compound_suffix,case,field,fire,grill,work,1,keep,4,"Good compound suffix group: casework, fieldwork, firework, grillwork are recognizable compounds."
purple,compound_prefix,burn,down,light,set,sun,1,keep,5,"Excellent compound prefix group: sunburn, sundown, sunlight, sunset are all natural compounds."
purple,compound_prefix,cast,fall,stream,turn,down,1,keep,5,"Strong compound prefix group: downcast, downfall, downstream, downturn are all natural compounds."
purple,anagram,least,slate,steal,stela,anagram,1,keep,4,"Good anagram set, though 'stela' (stone monument) is less common but legitimate."
purple,compound_prefix,down,light,set,shine,sun,1,keep,5,"Perfect compound prefix group: sundown, sunlight, sunset, sunshine are all natural compounds."
purple,compound_prefix,pour,right,stream,turn,down,1,keep,5,"Excellent compound prefix group: downpour, downright, downstream, downturn are all natural compounds."
purple,anagram,ruse,suer,sure,user,anagram,1,keep,5,"Perfect anagram set with all common, recognizable words."
purple,anagram,caret,carte,cater,crate,anagram,1,keep,5,"Excellent anagram set with all common, recognizable words."
purple,compound_prefix,arm,cast,finger,head,fore,1,keep,5,"Perfect compound prefix group: forearm, forecast, forefinger, forehead are all natural compounds."
purple,anagram,cater,react,recta,trace,anagram,1,keep,4,"Good anagram set, though 'recta' (anatomical term) is technical but legitimate."
purple,compound_suffix,black,dash,floor,key,board,1,keep,5,"Excellent compound suffix group: blackboard, dashboard, floorboard, keyboard are all natural compounds."
purple,compound_suffix,free,hatch,run,stair,way,1,keep,5,"Perfect compound suffix group: freeway, hatchway, runway, stairway are all natural compounds."
purple,anagram,reins,rinse,risen,siren,anagram,1,keep,5,"Excellent anagram set with all common, recognizable words."
purple,verb_noun_association,borrower,mortgage,loan,lending,repay,0,reject,2,"Mixed word types (borrower/lending are agent/gerund, not pure nouns) and 'repay' isn't the strongest verb association."
purple,compound_prefix,arm,cast,finger,ground,fore,1,keep,4,"Clean compound prefix pattern: forearm, forecast, forefinger, foreground are all natural compounds."
purple,compound_suffix,fair,hall,hatch,high,way,1,keep,4,"Good compound suffix: fairway, hallway, hatchway, highway are all recognizable compounds."
purple,anagram,prat,rapt,tarp,trap,anagram,1,keep,5,"Perfect anagram set with common, recognizable words that are clean anagrams of each other."
purple,compound_suffix,hatch,road,run,water,way,1,keep,4,"Solid compound suffix: hatchway, roadway, runway, waterway are all natural compounds."
purple,anagram,lascar,rascal,sacral,scalar,anagram,0,reject,2,Contains obscure/technical words like 'lascar' and 'sacral' that most players wouldn't recognize.
purple,compound_suffix,free,hatch,mid,sub,way,1,keep,4,"Good compound suffix: freeway, hatchway, midway, subway are all common compounds."
purple,compound_suffix,along,curb,dock,mountain,side,1,keep,4,"Clean compound suffix: alongside, curbside, dockside, mountainside are all natural compounds."
purple,compound_prefix,field,line,port,way,air,1,keep,4,"Good compound prefix: airfield, airline, airport, airway are all recognizable compounds."
purple,anagram,acinar,arnica,carina,crania,anagram,0,reject,1,"All words are obscure/technical terms that most players wouldn't know (acinar, arnica, carina, crania)."
purple,verb_noun_association,injustice,oppression,slavery,persecution,denounce,0,reject,2,'Denounce' is not the strongest verb association; these nouns more strongly suggest 'fight' or 'oppose'.
purple,compound_suffix,bed,life,peace,summer,time,1,keep,5,"Excellent compound suffix: bedtime, lifetime, peacetime, summertime are all common, natural compounds."
purple,compound_prefix,craft,field,mail,port,air,1,keep,4,"Good compound prefix: aircraft, airfield, airmail, airport are all common compounds."
purple,compound_suffix,fair,hall,high,park,way,1,keep,4,"Solid compound suffix: fairway, hallway, highway, parkway are all recognizable compounds."
purple,anagram,least,slate,steal,tales,anagram,1,keep,5,"Excellent anagram set with common, easily recognizable words."
purple,verb_noun_association,herd,livestock,sheep,cattle,roam,0,reject,2,'Roam' is not the strongest verb association; these nouns more strongly suggest 'graze' or 'tend'.
purple,compound_prefix,borne,craft,mail,strip,air,1,keep,4,"Good compound prefix: airborne, aircraft, airmail, airstrip are all natural compounds."
purple,compound_suffix,lunch,meal,peace,summer,time,1,keep,4,"Solid compound suffix: lunchtime, mealtime, peacetime, summertime are all common compounds."
purple,verb_noun_association,humidity,moisture,dry,wet,tolerate,0,reject,1,"Mixed word types (dry/wet are adjectives, not nouns) and 'tolerate' is not a strong association."
